Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
629,Luis Díaz,co COL,FW,Liverpool,eng Premier League,27-021,1997,14.5,460,3095,1464,51,32,21,35,32,519,136,Matches
630,Víctor Díaz,es ESP,"DF,MF",Granada,es La Liga,35-236,1988,1.8,39,148,85,0,0,0,2,0,48,0,Matches
631,Famara Diedhiou,sn SEN,"FW,MF",Granada,es La Liga,31-050,1992,1,40,241,99,5,3,2,12,2,53,19,Matches
632,Justin Diehl,de GER,"FW,MF",Köln,de Bundesliga,19-068,2004,0.8,25,238,77,3,1,1,6,0,26,8,Matches
633,Bamba Dieng,sn SEN,FW,Lorient,fr Ligue 1,23-317,2000,4.3,88,502,128,4,1,2,11,7,92,27,Matches
634,Eric Dier,eng ENG,DF,Tottenham,eng Premier League,30-019,1994,2.2,97,291,119,0,0,0,1,0,112,0,Matches
635,Eric Dier,eng ENG,DF,Bayern Munich,de Bundesliga,30-019,1994,1.5,64,240,85,0,2,0,1,0,82,0,Matches
636,Guillaume Dietsch,fr FRA,GK,Metz,fr Ligue 1,22-292,2001,0.8,12,72,49,0,0,0,0,0,9,0,Matches
637,Florian Dietz,de GER,FW,Köln,de Bundesliga,25-184,1998,0.5,11,28,2,0,1,0,2,0,14,6,Matches
638,Lucas Digne,fr FRA,DF,Aston Villa,eng Premier League,30-198,1993,16.9,560,2438,1170,30,12,2,13,11,609,153,Matches
639,Federico Dimarco,it ITA,DF,Inter,it Serie A,26-085,1997,12.7,492,2009,1172,30,20,3,16,4,591,111,Matches
640,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,30-040,1993,22,380,2286,1447,0,0,0,0,0,285,0,Matches
641,Junior Dina Ebimbe,fr FRA,"MF,DF",Eint Frankfurt,de Bundesliga,23-074,2000,13.2,447,2408,1235,39,21,15,40,19,520,77,Matches
642,Eren Dinkçi,de GER,"FW,MF",Heidenheim,de Bundesliga,22-052,2001,16.6,388,2794,1424,47,35,11,61,30,441,74,Matches
643,Sinaly Diomande,ci CIV,DF,Lyon,fr Ligue 1,22-300,2001,9.9,505,2509,1321,5,8,1,6,2,441,0,Matches
644,Edan Diop,fr FRA,"MF,DF",Monaco,fr Ligue 1,19-159,2004,1.3,69,278,134,4,3,0,3,0,65,11,Matches
645,Issa Diop,fr FRA,DF,Fulham,eng Premier League,27-025,1997,10.7,598,3549,2268,10,7,0,2,3,645,1,Matches
646,Sofiane Diop,fr FRA,FW,Nice,fr Ligue 1,23-239,2000,5.5,190,1329,589,20,18,6,15,9,177,43,Matches
647,Andy Diouf,fr FRA,MF,Lens,fr Ligue 1,20-262,2003,9.9,448,3256,1753,43,33,6,17,20,412,38,Matches
648,Yehvann Diouf,fr FRA,GK,Reims,fr Ligue 1,24-079,1999,19,586,2796,1481,0,0,0,0,0,426,0,Matches
649,Axel Disasi,fr FRA,DF,Chelsea,eng Premier League,25-329,1998,19.7,1129,4647,2689,19,9,2,11,10,1353,17,Matches
650,Chaim El Djebali,tn TUN,MF,Lyon,fr Ligue 1,19-361,2004,0.1,9,50,35,1,1,0,0,0,10,0,Matches
651,Djené,tg TOG,"MF,DF",Getafe,es La Liga,32-034,1991,15.2,335,1796,856,8,14,0,12,9,362,13,Matches
652,Koffi Djidji,ci CIV,DF,Torino,it Serie A,31-065,1992,2.5,85,349,131,0,3,1,1,2,90,0,Matches
653,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,30-349,1993,19,597,3019,1063,1,2,0,6,1,684,4,Matches
654,Marko Dmitrović,rs SRB,GK,Sevilla,es La Liga,32-010,1992,13,234,1097,625,0,0,0,0,0,190,0,Matches
655,Ben Doak,sct SCO,FW,Liverpool,eng Premier League,18-084,2005,0.2,4,7,2,0,0,0,2,0,4,0,Matches
656,Ritsu Doan,jp JPN,"MF,FW",Freiburg,de Bundesliga,25-232,1998,11.8,279,1520,763,25,20,5,24,19,304,72,Matches
657,Lewis Dobbin,eng ENG,MF,Everton,eng Premier League,21-031,2003,1.9,55,424,171,6,9,4,8,5,51,11,Matches
658,Dodô,br BRA,DF,Fiorentina,it Serie A,25-078,1998,3,142,930,497,12,6,1,4,0,147,10,Matches
659,Danilho Doekhi,nl NED,DF,Union Berlin,de Bundesliga,25-218,1998,8,249,1113,720,1,7,0,6,1,295,5,Matches
660,Matt Doherty,ie IRL,"DF,MF",Wolves,eng Premier League,32-018,1992,6.3,153,640,251,5,5,0,10,2,206,32,Matches
661,Josh Doig,sct SCO,DF,Hellas Verona,it Serie A,21-261,2002,9.2,216,1407,637,23,16,3,16,5,237,22,Matches
662,Josh Doig,sct SCO,DF,Sassuolo,it Serie A,21-261,2002,1,14,135,93,2,0,0,0,0,24,0,Matches
663,Jeremy Doku,be BEL,"FW,DF",Manchester City,eng Premier League,21-252,2002,9.6,431,3910,2581,106,28,73,32,18,451,151,Matches
664,Jeremy Doku,be BEL,FW,Rennes,fr Ligue 1,21-252,2002,1.2,60,627,342,11,6,7,2,2,54,19,Matches
665,Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,22-357,2001,8.5,234,1046,522,6,8,1,8,1,253,1,Matches
666,Mario Dominguez,es ESP,FW,Valencia,es La Liga,19-358,2004,0.3,4,9,2,0,0,0,2,0,9,1,Matches
667,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,eng Premier League,25-220,1998,9.9,245,976,511,7,10,2,13,4,335,29,Matches
668,Nicolás Domínguez,ar ARG,MF,Bologna,it Serie A,25-220,1998,1.1,39,210,116,1,2,0,1,3,79,3,Matches
669,Giulio Donati,it ITA,DF,Monza,it Serie A,33-363,1990,0.1,10,33,4,0,0,0,2,0,11,2,Matches
670,Jamie Donley,eng ENG,FW,Tottenham,eng Premier League,19-031,2005,0,2,9,8,0,0,0,0,1,1,0,Matches
671,Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,24-343,1999,17.1,449,1767,1009,0,0,0,1,0,344,0,Matches
672,Patrick Dorgu,dk DEN,DF,Lecce,it Serie A,19-100,2004,8.2,312,1678,927,21,17,2,16,6,322,39,Matches
673,Niklas Dorsch,de GER,MF,Augsburg,de Bundesliga,26-019,1998,12.7,365,1592,595,8,4,1,17,7,375,7,Matches
674,Gabriel Dos Santos,br BRA,DF,Arsenal,eng Premier League,26-046,1997,18.2,831,3373,2019,11,23,1,6,2,947,6,Matches
675,Alberto Dossena,it ITA,DF,Cagliari,it Serie A,25-113,1998,21.1,488,2289,1284,4,4,0,12,8,525,2,Matches
676,Carlos Dotor,es ESP,MF,Celta Vigo,es La Liga,22-325,2001,7.7,193,826,329,3,6,0,13,9,272,12,Matches
677,Abdoulaye Doucouré,ml MLI,"FW,MF",Everton,eng Premier League,31-033,1993,17,375,2042,1157,34,23,11,39,22,455,85,Matches
678,Cheick Doucouré,ml MLI,MF,Crystal Palace,eng Premier League,24-026,2000,10.2,276,1153,579,9,9,1,16,8,318,5,Matches
679,Siriné Doucouré,ml MLI,FW,Lorient,fr Ligue 1,21-301,2002,4.7,122,787,315,14,7,12,30,10,135,35,Matches
680,Désiré Doué,fr FRA,"MF,FW",Rennes,fr Ligue 1,18-245,2005,7.4,328,2126,1031,22,23,9,23,15,313,58,Matches
681,Guela Doué,fr FRA,DF,Rennes,fr Ligue 1,21-109,2002,4.2,165,938,426,9,9,4,6,1,147,27,Matches
682,Alfie Doughty,eng ENG,"DF,MF",Luton Town,eng Premier League,24-044,1999,16.6,412,2645,1258,49,22,20,24,9,452,79,Matches
683,Douglas,br BRA,MF,Nantes,fr Ligue 1,27-021,1997,12.6,642,3112,1234,9,13,1,13,4,586,13,Matches
684,Ismaël Doukouré,fr FRA,"MF,DF",Strasbourg,fr Ligue 1,20-194,2003,12.9,423,2395,1014,14,10,0,6,19,381,4,Matches
685,Kamory Doumbia,ml MLI,MF,Brest,fr Ligue 1,20-350,2003,4,225,1147,475,12,8,4,10,7,206,15,Matches
686,Anastasios Douvikas,gr GRE,FW,Celta Vigo,es La Liga,24-185,1999,6,97,524,180,6,2,3,23,12,125,32,Matches
687,Artem Dovbyk,ua UKR,FW,Girona,es La Liga,26-227,1997,14.8,202,749,254,8,4,6,29,28,269,62,Matches
688,Nikola Dovedan,at AUT,"MF,FW",Heidenheim,de Bundesliga,29-212,1994,2.8,63,444,243,6,8,2,9,7,56,11,Matches
689,Damion Downs,de GER,"FW,MF",Köln,de Bundesliga,19-212,2004,0.3,7,21,4,0,0,0,0,0,9,1,Matches
690,Tommy Doyle,eng ENG,MF,Wolves,eng Premier League,22-109,2001,6.5,269,1165,501,8,6,2,3,4,335,8,Matches
691,Radu Drăgușin,ro ROU,"MF,DF",Tottenham,eng Premier League,22-000,2002,0.1,5,19,1,0,0,0,0,0,8,0,Matches
692,Radu Drăgușin,ro ROU,DF,Genoa,it Serie A,22-000,2002,19,447,1898,922,6,6,1,5,4,495,13,Matches
693,Dion Drena Beljo,hr CRO,"FW,MF",Augsburg,de Bundesliga,21-339,2002,4.9,99,711,312,14,7,6,18,4,128,25,Matches
694,Domingos Duarte,pt POR,DF,Getafe,es La Liga,28-330,1995,8.9,201,1118,716,7,1,0,5,1,222,0,Matches
695,Rubén Duarte,es ESP,DF,Alavés,es La Liga,28-108,1995,13,250,1177,600,11,10,1,6,3,298,27,Matches
696,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,35-019,1989,8.1,144,807,602,0,0,0,1,0,96,0,Matches
697,Marvin Ducksch,de GER,FW,Werder Bremen,de Bundesliga,29-333,1994,15.9,334,1162,449,8,10,1,25,13,445,83,Matches
698,Ondrej Duda,sk SVK,MF,Hellas Verona,it Serie A,29-060,1994,15.5,466,2559,988,20,18,5,32,13,468,29,Matches
699,Denzel Dumfries,nl NED,DF,Inter,it Serie A,27-291,1996,11.5,301,1668,731,33,15,10,18,8,377,89,Matches
700,Paul Dummett,wls WAL,DF,Newcastle Utd,eng Premier League,32-130,1991,0.1,2,9,6,0,0,0,0,0,6,0,Matches
701,Alfred Duncan,gh GHA,MF,Fiorentina,it Serie A,30-330,1993,14.2,443,1914,903,15,19,2,10,10,512,31,Matches
702,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,32-074,1991,17.7,1395,6719,3710,27,11,1,7,1,1528,9,Matches
703,Jhon Durán,co COL,"FW,MF",Aston Villa,eng Premier League,20-052,2003,2.1,52,265,129,6,4,4,7,6,67,13,Matches
704,Hugo Duro,es ESP,FW,Valencia,es La Liga,24-085,1999,20,306,1262,525,16,16,8,57,23,366,90,Matches
705,Jean-Kevin Duverne,ht HAI,DF,Nantes,fr Ligue 1,26-206,1997,11,497,2520,1286,13,18,1,15,6,446,17,Matches
706,Paulo Dybala,ar ARG,"FW,MF",Roma,it Serie A,30-080,1993,12.2,505,3041,1340,48,34,18,49,22,620,101,Matches
707,Aron Dønnum,no NOR,"FW,MF",Toulouse,fr Ligue 1,25-289,1998,11.2,404,2974,1430,50,25,16,28,15,386,78,Matches
708,Festy Ebosele,ie IRL,DF,Udinese,it Serie A,21-185,2002,15.8,327,2999,1545,57,34,26,49,30,313,80,Matches
709,Enzo Ebosse,cm CMR,DF,Udinese,it Serie A,24-329,1999,0.1,12,38,21,0,0,0,0,0,12,0,Matches
710,Tyronne Ebuehi,ng NGA,DF,Empoli,it Serie A,28-049,1995,11.9,344,2018,1216,34,14,6,18,4,358,35,Matches
711,Ederson,br BRA,GK,Manchester City,eng Premier League,30-170,1993,19.1,542,2316,1485,0,0,0,0,0,545,0,Matches
712,Éderson,br BRA,MF,Atalanta,it Serie A,24-211,1999,19.5,772,3538,1640,22,17,5,24,23,831,35,Matches
713,Odsonne Édouard,fr FRA,FW,Crystal Palace,eng Premier League,26-018,1998,13.8,258,1305,661,26,13,19,40,20,296,74,Matches
714,John Egan,ie IRL,DF,Sheffield Utd,eng Premier League,31-106,1992,5.4,106,485,233,0,2,0,2,1,133,1,Matches
715,Maximilian Eggestein,de GER,MF,Freiburg,de Bundesliga,27-057,1996,18.5,544,2746,1245,20,24,2,18,8,607,31,Matches
716,Lilian Egloff,de GER,"MF,DF",Stuttgart,de Bundesliga,21-167,2002,1.2,27,182,69,2,3,0,0,1,32,2,Matches
717,Kingsley Ehizibue,nl NED,DF,Udinese,it Serie A,28-254,1995,1.9,54,327,170,4,4,2,4,2,49,9,Matches
718,Hjalmar Ekdal,se SWE,DF,Burnley,eng Premier League,25-105,1998,3.1,81,513,281,2,1,0,0,0,97,0,Matches
719,Hugo Ekitike,fr FRA,FW,Paris S-G,fr Ligue 1,21-228,2002,0.1,11,56,6,0,0,1,2,1,11,3,Matches
720,Emmanuel Ekong,se SWE,FW,Empoli,it Serie A,21-223,2002,0.1,4,36,1,0,0,0,0,0,4,1,Matches
721,Caleb Ekuban,gh GHA,FW,Genoa,it Serie A,29-317,1994,6.9,150,677,232,7,5,5,32,9,171,54,Matches
722,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,eng Premier League,21-282,2002,15.3,366,2884,1568,61,35,28,43,16,431,119,Matches
723,Simon Elisor,fr FRA,FW,Metz,fr Ligue 1,24-196,1999,8.5,167,1041,193,9,8,5,28,23,194,43,Matches
724,Harvey Elliott,eng ENG,"MF,FW",Liverpool,eng Premier League,20-305,2003,5.5,246,1297,601,17,22,3,6,5,299,36,Matches
725,Elif Elmas,mk MKD,"FW,MF",Napoli,it Serie A,24-132,1999,3.8,140,1045,623,14,13,4,9,7,181,26,Matches
726,Elif Elmas,mk MKD,"MF,DF",RB Leipzig,de Bundesliga,24-132,1999,0.3,15,72,49,2,1,0,1,1,20,2,Matches
727,Mohamed Elneny,eg EGY,MF,Arsenal,eng Premier League,31-207,1992,0,6,34,6,0,0,0,0,0,9,0,Matches
728,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,29-312,1994,5.5,165,851,387,4,5,1,0,2,189,2,Matches
729,Nico Elvedi,ch SUI,DF,M'Gladbach,de Bundesliga,27-126,1996,14.9,600,3154,1803,16,8,0,2,2,670,4,Matches
730,Adri Embarba,es ESP,"FW,MF",Almería,es La Liga,31-272,1992,15.2,448,2992,1424,60,36,13,39,18,482,98,Matches
731,Emanuel Emegha,nl NED,FW,Strasbourg,fr Ligue 1,21-000,2003,12.3,179,1122,329,14,13,8,28,21,183,53,Matches
732,Emerson,br BRA,DF,Tottenham,eng Premier League,25-020,1999,8.7,491,2052,949,16,14,1,10,7,570,12,Matches
733,Youssef En-Nesyri,ma MAR,FW,Sevilla,es La Liga,26-247,1997,13.3,106,419,124,4,3,4,31,11,154,28,Matches
734,Wataru Endo,jp JPN,MF,Liverpool,eng Premier League,30-359,1993,7.8,345,1352,509,4,6,0,12,11,425,10,Matches
735,Arne Engels,be BEL,"MF,DF",Augsburg,de Bundesliga,20-148,2003,8.9,197,964,421,15,12,3,9,5,218,31,Matches
736,Christian Eriksen,dk DEN,MF,Manchester Utd,eng Premier League,31-354,1992,9.4,367,1547,729,14,12,2,3,10,425,18,Matches
737,Martin Erlic,hr CRO,DF,Sassuolo,it Serie A,26-010,1998,18.3,482,2435,1434,14,6,1,6,0,580,6,Matches
738,Gonzalo Escalante,ar ARG,MF,Cádiz,es La Liga,30-313,1993,10.3,154,638,269,1,5,0,8,7,225,4,Matches
739,Alfonso Espino,uy URU,DF,Rayo Vallecano,es La Liga,32-029,1992,18.9,501,2417,1252,26,19,6,27,13,592,64,Matches
740,Bernardo Espinosa,co COL,DF,Girona,es La Liga,34-207,1989,0,5,11,5,0,0,0,0,0,6,0,Matches
741,Maxime Estève,fr FRA,DF,Montpellier,fr Ligue 1,21-253,2002,11.1,282,1411,699,8,4,1,5,1,249,10,Matches
742,Oscar Estupiñan,co COL,FW,Metz,fr Ligue 1,27-036,1996,2.9,54,312,105,5,3,0,3,4,62,8,Matches
743,Pervis Estupiñán,ec ECU,DF,Brighton,eng Premier League,26-013,1998,8.3,437,1850,1147,26,15,10,14,3,466,48,Matches
744,Karl Etta,cm CMR,FW,Cádiz,es La Liga,20-033,2004,0.2,2,4,0,0,0,0,1,0,2,1,Matches
745,Jonny Evans,nir NIR,DF,Manchester Utd,eng Premier League,36-031,1988,9.8,360,1844,1110,5,3,0,2,2,402,1,Matches
746,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,eng Premier League,25-219,1998,12.9,446,2731,1224,38,38,22,39,26,480,69,Matches
747,Abdessamad Ezzalzouli,ma MAR,"FW,MF",Barcelona,es La Liga,22-048,2001,0.8,41,302,143,7,3,4,4,2,43,12,Matches
748,Abdessamad Ezzalzouli,ma MAR,FW,Betis,es La Liga,22-048,2001,5.6,174,1628,994,38,22,21,12,16,200,54,Matches
749,Giovanni Fabbian,it ITA,"MF,FW",Bologna,it Serie A,21-020,2003,4.9,81,405,157,5,3,2,11,5,105,25,Matches
750,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,38-291,1985,3,58,286,200,0,0,0,0,0,33,0,Matches
751,Nicolò Fagioli,it ITA,MF,Juventus,it Serie A,22-356,2001,3.8,135,612,267,6,4,1,8,3,155,14,Matches
752,Romain Faivre,fr FRA,MF,Bournemouth,eng Premier League,25-204,1998,0,4,55,42,1,2,0,0,1,6,0,Matches
753,Romain Faivre,fr FRA,"MF,FW",Lorient,fr Ligue 1,25-204,1998,16.1,657,5115,2142,68,48,11,37,17,599,78,Matches
754,Radamel Falcao,co COL,"FW,DF",Rayo Vallecano,es La Liga,37-358,1986,2.1,40,145,47,2,2,2,2,5,48,10,Matches
755,Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,28-297,1995,23,400,2114,1391,0,0,0,0,0,319,0,Matches
756,Fali,es ESP,DF,Cádiz,es La Liga,30-175,1993,19.6,351,1809,1140,13,7,0,5,1,400,6,Matches
757,Davide Faraoni,it ITA,DF,Hellas Verona,it Serie A,32-101,1991,6.7,190,782,400,13,8,1,14,2,211,31,Matches
758,Davide Faraoni,it ITA,DF,Fiorentina,it Serie A,32-101,1991,2.5,119,703,376,6,1,1,2,0,123,10,Matches
759,Ansu Fati,es ESP,"MF,FW",Brighton,eng Premier League,21-095,2002,3.2,103,478,246,9,1,6,5,4,125,23,Matches
760,Ansu Fati,es ESP,"MF,FW",Barcelona,es La Liga,21-095,2002,0.6,32,266,157,6,4,2,1,1,35,5,Matches
761,Khalil Fayad,fr FRA,"FW,MF",Montpellier,fr Ligue 1,19-239,2004,8.3,222,1255,573,14,10,4,14,9,200,38,Matches
762,Federico Fazio,ar ARG,DF,Salernitana,it Serie A,36-323,1987,9.3,199,887,465,1,0,0,3,2,220,0,Matches
763,Jacopo Fazzini,it ITA,MF,Empoli,it Serie A,20-324,2003,9.1,260,1480,690,16,13,4,19,15,274,36,Matches
764,Nabil Fekir,fr FRA,"FW,MF",Betis,es La Liga,30-200,1993,1.7,67,391,200,4,5,2,6,8,89,12,Matches
765,Felipe,br BRA,DF,Nott'ham Forest,eng Premier League,34-263,1989,1.5,61,277,151,1,1,0,1,0,65,0,Matches
766,Luiz Felipe,it ITA,DF,Betis,es La Liga,26-318,1997,4,106,499,145,0,0,0,1,0,129,0,Matches
767,João Félix,pt POR,FW,Barcelona,es La Liga,24-085,1999,11.9,420,2583,1511,52,40,22,31,20,525,127,Matches
768,Ohis Felix Uduokhai,de GER,DF,Augsburg,de Bundesliga,26-147,1997,17.5,623,3126,1579,16,7,1,7,3,665,3,Matches
769,Kiko Femenía,es ESP,"DF,MF",Villarreal,es La Liga,33-001,1991,4.6,152,938,526,15,8,1,2,2,193,22,Matches
770,Evan Ferguson,ie IRL,FW,Brighton,eng Premier League,19-107,2004,11.5,222,1025,323,11,7,3,34,26,263,45,Matches
771,Lewis Ferguson,sct SCO,MF,Bologna,it Serie A,24-163,1999,19.9,758,3218,1352,29,16,6,13,12,1025,86,Matches
772,Bruno Fernandes,pt POR,"MF,FW",Manchester Utd,eng Premier League,29-148,1994,21,799,3377,1785,34,31,9,33,20,1027,111,Matches
773,Edimilson Fernandes,ch SUI,DF,Mainz 05,de Bundesliga,27-294,1996,10.7,397,2264,1304,8,9,1,3,2,424,8,Matches
774,Aitor Fernández,es ESP,GK,Osasuna,es La Liga,32-276,1991,4.1,76,426,306,0,0,0,0,0,69,0,Matches
775,Álex Fernández,es ESP,"MF,FW",Cádiz,es La Liga,31-111,1992,8.5,197,840,421,4,14,0,7,8,241,12,Matches
776,Carlos Fernández,es ESP,FW,Real Sociedad,es La Liga,27-257,1996,4.5,64,315,100,5,3,0,13,14,85,13,Matches
777,Enzo Fernández,ar ARG,MF,Chelsea,eng Premier League,23-017,2001,16,838,3926,2021,39,33,5,23,17,1035,39,Matches
778,Raúl Fernández,es ESP,GK,Granada,es La Liga,35-327,1988,3.1,58,357,205,0,0,0,0,0,47,0,Matches
779,Valery Fernández,es ESP,"MF,DF",Girona,es La Liga,24-072,1999,4.5,142,971,439,15,9,6,12,5,153,38,Matches
780,Fernando,es ESP,GK,Almería,es La Liga,33-238,1990,2,43,279,189,0,0,0,0,0,34,0,Matches
781,Fernando,br BRA,MF,Sevilla,es La Liga,36-193,1987,5.1,168,878,429,5,8,1,5,3,186,7,Matches
782,Ichem Ferrah,fr FRA,FW,Lille,fr Ligue 1,18-133,2005,0,2,7,0,0,0,0,1,0,2,2,Matches
783,André Ferreira,pt POR,GK,Granada,es La Liga,27-250,1996,14.9,271,1478,829,0,0,0,2,1,192,0,Matches
784,João Ferreira,pt POR,DF,Udinese,it Serie A,22-318,2001,13.5,339,1805,994,11,16,2,13,7,340,31,Matches
785,Jordan Ferri,fr FRA,MF,Montpellier,fr Ligue 1,31-328,1992,13,721,3684,1792,23,24,3,26,18,664,32,Matches
786,Nacho Ferri,es ESP,"FW,MF",Eint Frankfurt,de Bundesliga,19-121,2004,0.6,13,64,16,0,0,0,4,2,19,5,Matches
787,Rachad Fettal,ma MAR,FW,Almería,es La Liga,19-018,2005,0.2,,,,,,,,,,,Matches
788,Seydou Fini,it ITA,"DF,FW",Genoa,it Serie A,17-246,2006,0.4,11,64,23,1,2,0,1,1,13,2,Matches
789,Max Finkgräfe,de GER,"DF,MF",Köln,de Bundesliga,19-313,2004,6.1,177,1226,638,20,12,4,8,7,174,20,Matches
790,Kilian Fischer,de GER,DF,Wolfsburg,de Bundesliga,23-114,2000,0.1,3,4,1,0,0,0,0,0,2,0,Matches
791,John Fleck,sct SCO,"MF,DF",Sheffield Utd,eng Premier League,32-163,1991,1,19,81,39,2,1,0,2,0,27,0,Matches
792,Mark Flekken,nl NED,GK,Brentford,eng Premier League,30-235,1993,19.5,537,2771,1551,0,0,0,0,0,510,0,Matches
793,Alessandro Florenzi,it ITA,DF,Milan,it Serie A,32-329,1991,10.4,473,2519,1401,18,16,1,9,4,529,27,Matches
794,Phil Foden,eng ENG,"FW,MF",Manchester City,eng Premier League,23-251,2000,18.7,738,3642,1743,50,43,28,35,24,908,147,Matches
795,Wes Foderingham,eng ENG,GK,Sheffield Utd,eng Premier League,33-020,1991,21.4,434,2492,1558,0,0,0,1,1,291,0,Matches
796,Malick Fofana,be BEL,"DF,FW",Lyon,fr Ligue 1,18-309,2005,0.7,28,241,84,3,2,1,4,2,25,5,Matches
797,Youssouf Fofana,fr FRA,MF,Monaco,fr Ligue 1,25-024,1999,16.5,923,5267,2600,32,53,4,28,17,840,54,Matches
798,Jonas Föhrenbach,de GER,DF,Heidenheim,de Bundesliga,28-008,1996,18.1,431,2228,1311,29,18,0,10,7,479,47,Matches
799,Thomas Foket,be BEL,DF,Reims,fr Ligue 1,29-131,1994,14.3,560,2966,1422,21,20,0,19,6,509,62,Matches
800,Michael Folorunsho,ng NGA,"MF,FW",Hellas Verona,it Serie A,25-361,1998,19.7,447,2824,1226,36,27,3,30,24,458,60,Matches
801,Pablo Fornals,es ESP,"MF,FW",West Ham,eng Premier League,27-346,1996,4.7,156,645,256,4,7,2,8,8,176,27,Matches
802,Emil Forsberg,se SWE,"MF,FW",RB Leipzig,de Bundesliga,32-103,1991,5.2,173,801,290,8,3,4,12,7,196,38,Matches
803,Omari Forson,eng ENG,FW,Manchester Utd,eng Premier League,19-198,2004,0.1,2,3,0,0,0,0,0,0,2,1,Matches
804,Philipp Förster,de GER,"MF,FW",Bochum,de Bundesliga,28-364,1995,3.2,79,403,158,4,4,0,8,6,94,12,Matches
805,Héctor Fort,es ESP,DF,Barcelona,es La Liga,17-185,2006,0.5,22,79,33,1,0,0,0,0,27,8,Matches
806,Lyle Foster,za RSA,FW,Burnley,eng Premier League,23-153,2000,11.5,207,1358,677,29,18,18,38,20,252,47,Matches
807,Dimitri Foulquier,fr FRA,"DF,MF",Valencia,es La Liga,30-317,1993,9.3,262,1305,653,12,14,0,11,9,286,20,Matches
808,Juan Foyth,ar ARG,DF,Villarreal,es La Liga,26-022,1998,11.8,426,2278,1192,19,28,3,17,7,494,28,Matches
809,Matheus França,br BRA,"FW,MF",Crystal Palace,eng Premier League,19-308,2004,0.7,22,234,106,4,4,2,1,1,23,5,Matches
810,Bartol Franjić,hr CRO,MF,Darmstadt 98,de Bundesliga,24-020,2000,8.6,244,1328,627,11,8,1,10,5,292,13,Matches
811,Przemysław Frankowski,pl POL,DF,Lens,fr Ligue 1,28-297,1995,11.8,504,2956,1242,30,26,3,22,5,473,101,Matches
812,Nathan Fraser,ie IRL,FW,Wolves,eng Premier League,18-346,2005,0.1,3,6,4,0,0,0,0,0,2,0,Matches
813,Davide Frattesi,it ITA,MF,Inter,it Serie A,24-104,1999,5.2,115,1039,457,18,9,8,7,10,123,21,Matches
814,Jean Frederic N'Guessan,ci CIV,"MF,FW",Metz,fr Ligue 1,20-292,2003,1.2,42,232,88,1,2,0,1,2,36,2,Matches
815,Morten Frendrup,dk DEN,MF,Genoa,it Serie A,22-302,2001,20.2,426,2196,915,24,12,3,34,8,455,46,Matches
816,Remo Freuler,ch SUI,MF,Bologna,it Serie A,31-294,1992,15,567,2575,1154,12,10,2,14,8,726,26,Matches
817,Marco Friedl,at AUT,DF,Werder Bremen,de Bundesliga,25-324,1998,14.4,461,2130,1053,0,4,0,7,3,493,2,Matches
818,Marvin Friedrich,de GER,DF,M'Gladbach,de Bundesliga,28-052,1995,8.4,293,1328,545,1,2,1,6,0,335,3,Matches
819,Jeremie Frimpong,nl NED,DF,Leverkusen,de Bundesliga,23-055,2000,16.9,561,4341,2609,108,42,48,35,24,649,232,Matches
820,Jorge de Frutos,es ESP,"MF,FW",Rayo Vallecano,es La Liga,26-348,1997,7.2,175,1059,524,20,12,5,16,5,194,63,Matches
821,Chris Führich,de GER,"FW,MF",Stuttgart,de Bundesliga,26-025,1998,16.9,660,5438,3057,108,68,33,35,19,760,150,Matches
822,Shiō Fukuda,jp JPN,FW,M'Gladbach,de Bundesliga,19-301,2004,0.1,4,30,4,0,0,0,0,1,4,1,Matches
823,Angelo Fulgini,fr FRA,MF,Lens,fr Ligue 1,27-167,1996,9.4,434,2408,979,26,30,3,24,19,417,72,Matches
824,Niclas Füllkrug,de GER,FW,Werder Bremen,de Bundesliga,30-359,1993,2,45,154,71,2,1,0,4,1,70,12,Matches
825,Niclas Füllkrug,de GER,FW,Dortmund,de Bundesliga,30-359,1993,14.9,270,974,312,8,10,6,36,13,414,85,Matches
826,Matteo Gabbia,it ITA,DF,Milan,it Serie A,24-105,1999,3.1,115,535,277,0,0,0,0,0,129,0,Matches
827,Matteo Gabbia,it ITA,DF,Villarreal,es La Liga,24-105,1999,5.3,205,963,555,1,1,0,4,0,244,0,Matches
828,Gianluca Gaetano,it ITA,MF,Napoli,it Serie A,23-274,2000,1.8,58,295,155,6,1,1,5,3,76,5,Matches
