Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
45,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,28-350,1995,13.2,730,3302,1996,16,16,0,4,1,856,8,Matches
46,Ilias Akhomach,es ESP,"MF,FW",Villarreal,es La Liga,19-293,2004,9.6,280,1840,993,32,22,8,29,22,321,79,Matches
47,Sergio Akieme,es ESP,DF,Almería,es La Liga,26-049,1997,18.6,498,2520,1141,27,23,2,15,16,525,72,Matches
48,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,21-343,2002,7.3,343,1840,636,14,10,3,16,21,308,57,Matches
49,Paul Akouokou,ci CIV,MF,Betis,es La Liga,26-045,1997,0.3,11,42,8,0,0,0,0,0,15,0,Matches
50,Paul Akouokou,ci CIV,MF,Lyon,fr Ligue 1,26-045,1997,3.3,166,630,179,0,4,0,4,1,148,2,Matches
51,Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,it Serie A,31-115,1992,3.3,87,495,231,0,3,0,5,2,91,6,Matches
52,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,28-290,1995,7.4,280,1340,612,6,7,1,6,0,335,6,Matches
53,David Alaba,at AUT,DF,Real Madrid,es La Liga,31-224,1992,12.8,699,3567,2011,9,11,0,5,1,730,13,Matches
54,Luis Alberto,es ESP,MF,Lazio,it Serie A,31-128,1992,15.1,621,3282,1973,53,36,4,19,18,838,64,Matches
55,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,38-152,1985,14.2,527,3090,1878,6,1,0,6,3,646,0,Matches
56,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,32-278,1991,19.8,487,2343,1013,14,13,0,13,13,562,19,Matches
57,Omar Alderete,py PAR,DF,Getafe,es La Liga,27-039,1996,10.1,219,1298,741,9,6,0,2,4,225,3,Matches
58,Iván Alejo,es ESP,MF,Cádiz,es La Liga,28-358,1995,15.3,307,2238,1011,36,28,1,45,24,321,80,Matches
59,Carles Aleñá,es ESP,MF,Getafe,es La Liga,26-029,1998,7.5,176,766,229,7,9,3,20,14,221,26,Matches
60,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,25-119,1998,16.9,853,4051,1897,30,35,4,22,6,1027,63,Matches
61,Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,es La Liga,20-015,2004,2.8,69,590,363,16,11,4,10,2,68,19,Matches
62,Mohamed Ali Cho,fr FRA,FW,Nice,fr Ligue 1,20-015,2004,1,36,225,95,4,1,0,3,1,31,10,Matches
63,Yanis Ali Issoufou,fr FRA,FW,Montpellier,fr Ligue 1,17-098,2006,0.1,,,,,,,,,,,Matches
64,Faride Alidou,de GER,"FW,MF",Köln,de Bundesliga,22-200,2001,4.2,119,889,466,20,8,5,16,9,118,41,Matches
65,Nabil Alioui,fr FRA,"MF,FW",Le Havre,fr Ligue 1,24-350,1999,11.2,340,1958,846,22,20,7,23,17,328,72,Matches
66,Alisson,br BRA,GK,Liverpool,eng Premier League,31-124,1992,20,613,2792,1835,0,0,0,3,0,552,0,Matches
67,Jim Allevinah,ga GAB,"DF,MF",Clermont Foot,fr Ligue 1,28-341,1995,14,523,4205,2189,68,47,8,40,18,487,84,Matches
68,Domingos André Ribeiro Almeida,pt POR,"FW,MF",Valencia,es La Liga,23-249,2000,5.3,159,995,432,13,17,3,10,9,182,12,Matches
69,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,29-358,1994,16.4,515,3613,1874,65,34,16,18,21,575,134,Matches
70,Pontus Almqvist,se SWE,FW,Lecce,it Serie A,24-208,1999,14.4,350,2882,1428,54,29,26,33,27,385,91,Matches
71,Marcos Alonso,es ESP,DF,Barcelona,es La Liga,33-037,1990,1.8,105,556,273,8,7,2,1,2,110,26,Matches
72,Adrià Altimira,es ESP,"DF,MF",Villarreal,es La Liga,22-312,2001,8.6,257,1338,644,10,6,0,7,5,329,15,Matches
73,Sergi Altimira,es ESP,MF,Betis,es La Liga,22-162,2001,4.4,150,733,329,8,4,0,3,6,180,7,Matches
