Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,GCA,GCA90
57,Omar Alderete,py PAR,DF,Getafe,es La Liga,27-039,1996,10.1,13,1.29,1,0.1
58,Iván Alejo,es ESP,MF,Cádiz,es La Liga,28-358,1995,15.3,24,1.57,5,0.33
59,Carles Aleñá,es ESP,MF,Getafe,es La Liga,26-029,1998,7.5,24,3.22,2,0.27
60,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,25-119,1998,16.9,94,5.57,6,0.36
61,Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,es La Liga,20-015,2004,2.8,3,1.08,1,0.36
62,Mohamed Ali Cho,fr FRA,FW,Nice,fr Ligue 1,20-015,2004,1,4,3.91,0,0
63,Yanis Ali Issoufou,fr FRA,FW,Montpellier,fr Ligue 1,17-098,2006,0.1,,,,
64,Faride Alidou,de GER,"FW,MF",Köln,de Bundesliga,22-200,2001,4.2,9,2.11,2,0.47
65,Nabil Alioui,fr FRA,"MF,FW",Le Havre,fr Ligue 1,24-350,1999,11.2,40,3.56,2,0.18
66,Alisson,br BRA,GK,Liverpool,eng Premier League,31-124,1992,20,10,0.5,0,0
67,Jim Allevinah,ga GAB,"DF,MF",Clermont Foot,fr Ligue 1,28-341,1995,14,43,3.07,2,0.14
68,Domingos André Ribeiro Almeida,pt POR,"FW,MF",Valencia,es La Liga,23-249,2000,5.3,17,3.2,1,0.19
69,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,29-358,1994,16.4,44,2.68,3,0.18
70,Pontus Almqvist,se SWE,FW,Lecce,it Serie A,24-208,1999,14.4,42,2.92,6,0.42
71,Marcos Alonso,es ESP,DF,Barcelona,es La Liga,33-037,1990,1.8,7,3.89,1,0.56
72,Adrià Altimira,es ESP,"DF,MF",Villarreal,es La Liga,22-312,2001,8.6,6,0.7,1,0.12
73,Sergi Altimira,es ESP,MF,Betis,es La Liga,22-162,2001,4.4,9,2.07,0,0
74,Edson Álvarez,mx MEX,MF,West Ham,eng Premier League,26-102,1997,15.9,14,0.88,2,0.13
