Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,GCA,GCA90
639,Federico Dimarco,it ITA,DF,Inter,it Serie A,26-085,1997,12.7,63,4.96,9,0.71
640,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,30-040,1993,22,3,0.14,0,0
641,Junior Dina Ebimbe,fr FRA,"MF,DF",Eint Frankfurt,de Bundesliga,23-074,2000,13.2,27,2.04,2,0.15
642,Eren Dinkçi,de GER,"FW,MF",Heidenheim,de Bundesliga,22-052,2001,16.6,49,2.95,5,0.3
643,Sinaly Diomande,ci CIV,DF,Lyon,fr Ligue 1,22-300,2001,9.9,6,0.61,1,0.1
644,Edan Diop,fr FRA,"MF,DF",Monaco,fr Ligue 1,19-159,2004,1.3,1,0.77,0,0
645,Issa Diop,fr FRA,DF,Fulham,eng Premier League,27-025,1997,10.7,3,0.28,0,0
646,Sofiane Diop,fr FRA,FW,Nice,fr Ligue 1,23-239,2000,5.5,17,3.07,0,0
647,Andy Diouf,fr FRA,MF,Lens,fr Ligue 1,20-262,2003,9.9,34,3.45,2,0.2
648,Yehvann Diouf,fr FRA,GK,Reims,fr Ligue 1,24-079,1999,19,3,0.16,0,0
649,Axel Disasi,fr FRA,DF,Chelsea,eng Premier League,25-329,1998,19.7,8,0.41,0,0
650,Chaim El Djebali,tn TUN,MF,Lyon,fr Ligue 1,19-361,2004,0.1,0,0,0,0
651,Djené,tg TOG,"MF,DF",Getafe,es La Liga,32-034,1991,15.2,11,0.73,0,0
652,Koffi Djidji,ci CIV,DF,Torino,it Serie A,31-065,1992,2.5,1,0.4,0,0
653,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,30-349,1993,19,10,0.53,0,0
654,Marko Dmitrović,rs SRB,GK,Sevilla,es La Liga,32-010,1992,13,3,0.23,0,0
655,Ben Doak,sct SCO,FW,Liverpool,eng Premier League,18-084,2005,0.2,0,0,0,0
656,Ritsu Doan,jp JPN,"MF,FW",Freiburg,de Bundesliga,25-232,1998,11.8,35,2.97,2,0.17
657,Lewis Dobbin,eng ENG,MF,Everton,eng Premier League,21-031,2003,1.9,4,2.12,0,0
658,Dodô,br BRA,DF,Fiorentina,it Serie A,25-078,1998,3,6,2.02,0,0
659,Danilho Doekhi,nl NED,DF,Union Berlin,de Bundesliga,25-218,1998,8,8,1,0,0
660,Matt Doherty,ie IRL,"DF,MF",Wolves,eng Premier League,32-018,1992,6.3,6,0.95,0,0
661,Josh Doig,sct SCO,DF,Hellas Verona,it Serie A,21-261,2002,9.2,9,0.98,0,0
662,Josh Doig,sct SCO,DF,Sassuolo,it Serie A,21-261,2002,1,2,2.02,0,0
663,Jeremy Doku,be BEL,"FW,DF",Manchester City,eng Premier League,21-252,2002,9.6,55,5.72,8,0.83
664,Jeremy Doku,be BEL,FW,Rennes,fr Ligue 1,21-252,2002,1.2,9,7.23,0,0
665,Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,22-357,2001,8.5,7,0.83,0,0
666,Mario Dominguez,es ESP,FW,Valencia,es La Liga,19-358,2004,0.3,0,0,0,0
667,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,eng Premier League,25-220,1998,9.9,22,2.22,0,0
668,Nicolás Domínguez,ar ARG,MF,Bologna,it Serie A,25-220,1998,1.1,2,1.78,0,0
669,Giulio Donati,it ITA,DF,Monza,it Serie A,33-363,1990,0.1,1,9,0,0
670,Jamie Donley,eng ENG,FW,Tottenham,eng Premier League,19-031,2005,0,0,0,0,0
671,Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,24-343,1999,17.1,0,0,0,0
672,Patrick Dorgu,dk DEN,DF,Lecce,it Serie A,19-100,2004,8.2,24,2.94,1,0.12
673,Niklas Dorsch,de GER,MF,Augsburg,de Bundesliga,26-019,1998,12.7,13,1.03,1,0.08
674,Gabriel Dos Santos,br BRA,DF,Arsenal,eng Premier League,26-046,1997,18.2,14,0.77,1,0.06
675,Alberto Dossena,it ITA,DF,Cagliari,it Serie A,25-113,1998,21.1,16,0.76,2,0.09
676,Carlos Dotor,es ESP,MF,Celta Vigo,es La Liga,22-325,2001,7.7,9,1.17,1,0.13
677,Abdoulaye Doucouré,ml MLI,"FW,MF",Everton,eng Premier League,31-033,1993,17,47,2.76,4,0.24
678,Cheick Doucouré,ml MLI,MF,Crystal Palace,eng Premier League,24-026,2000,10.2,23,2.25,3,0.29
679,Siriné Doucouré,ml MLI,FW,Lorient,fr Ligue 1,21-301,2002,4.7,13,2.78,4,0.86
680,Désiré Doué,fr FRA,"MF,FW",Rennes,fr Ligue 1,18-245,2005,7.4,41,5.57,6,0.81
681,Guela Doué,fr FRA,DF,Rennes,fr Ligue 1,21-109,2002,4.2,16,3.81,3,0.71
682,Alfie Doughty,eng ENG,"DF,MF",Luton Town,eng Premier League,24-044,1999,16.6,60,3.6,9,0.54
683,Douglas,br BRA,MF,Nantes,fr Ligue 1,27-021,1997,12.6,29,2.3,2,0.16
684,Ismaël Doukouré,fr FRA,"MF,DF",Strasbourg,fr Ligue 1,20-194,2003,12.9,18,1.39,0,0
685,Kamory Doumbia,ml MLI,MF,Brest,fr Ligue 1,20-350,2003,4,6,1.49,2,0.5
686,Anastasios Douvikas,gr GRE,FW,Celta Vigo,es La Liga,24-185,1999,6,7,1.16,0,0
687,Artem Dovbyk,ua UKR,FW,Girona,es La Liga,26-227,1997,14.8,31,2.09,7,0.47
688,Nikola Dovedan,at AUT,"MF,FW",Heidenheim,de Bundesliga,29-212,1994,2.8,9,3.28,0,0
689,Damion Downs,de GER,"FW,MF",Köln,de Bundesliga,19-212,2004,0.3,1,3.75,0,0
690,Tommy Doyle,eng ENG,MF,Wolves,eng Premier League,22-109,2001,6.5,13,2.01,4,0.62
691,Radu Drăgușin,ro ROU,"MF,DF",Tottenham,eng Premier League,22-000,2002,0.1,0,0,0,0
692,Radu Drăgușin,ro ROU,DF,Genoa,it Serie A,22-000,2002,19,12,0.63,1,0.05
693,Dion Drena Beljo,hr CRO,"FW,MF",Augsburg,de Bundesliga,21-339,2002,4.9,15,3.08,2,0.41
694,Domingos Duarte,pt POR,DF,Getafe,es La Liga,28-330,1995,8.9,3,0.34,0,0
695,Rubén Duarte,es ESP,DF,Alavés,es La Liga,28-108,1995,13,21,1.61,0,0
696,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,35-019,1989,8.1,0,0,0,0
697,Marvin Ducksch,de GER,FW,Werder Bremen,de Bundesliga,29-333,1994,15.9,52,3.28,7,0.44
698,Ondrej Duda,sk SVK,MF,Hellas Verona,it Serie A,29-060,1994,15.5,52,3.35,4,0.26
699,Denzel Dumfries,nl NED,DF,Inter,it Serie A,27-291,1996,11.5,28,2.44,5,0.44
700,Paul Dummett,wls WAL,DF,Newcastle Utd,eng Premier League,32-130,1991,0.1,0,0,0,0
701,Alfred Duncan,gh GHA,MF,Fiorentina,it Serie A,30-330,1993,14.2,46,3.24,6,0.42
702,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,32-074,1991,17.7,24,1.35,5,0.28
703,Jhon Durán,co COL,"FW,MF",Aston Villa,eng Premier League,20-052,2003,2.1,7,3.41,3,1.46
704,Hugo Duro,es ESP,FW,Valencia,es La Liga,24-085,1999,20,31,1.55,7,0.35
705,Jean-Kevin Duverne,ht HAI,DF,Nantes,fr Ligue 1,26-206,1997,11,11,1,0,0
706,Paulo Dybala,ar ARG,"FW,MF",Roma,it Serie A,30-080,1993,12.2,52,4.25,12,0.98
707,Aron Dønnum,no NOR,"FW,MF",Toulouse,fr Ligue 1,25-289,1998,11.2,39,3.5,2,0.18
708,Festy Ebosele,ie IRL,DF,Udinese,it Serie A,21-185,2002,15.8,47,2.97,4,0.25
709,Enzo Ebosse,cm CMR,DF,Udinese,it Serie A,24-329,1999,0.1,1,11.25,0,0
710,Tyronne Ebuehi,ng NGA,DF,Empoli,it Serie A,28-049,1995,11.9,17,1.42,1,0.08
711,Ederson,br BRA,GK,Manchester City,eng Premier League,30-170,1993,19.1,4,0.21,0,0
712,Éderson,br BRA,MF,Atalanta,it Serie A,24-211,1999,19.5,50,2.57,4,0.21
713,Odsonne Édouard,fr FRA,FW,Crystal Palace,eng Premier League,26-018,1998,13.8,37,2.68,1,0.07
714,John Egan,ie IRL,DF,Sheffield Utd,eng Premier League,31-106,1992,5.4,1,0.19,0,0
715,Maximilian Eggestein,de GER,MF,Freiburg,de Bundesliga,27-057,1996,18.5,35,1.9,0,0
716,Lilian Egloff,de GER,"MF,DF",Stuttgart,de Bundesliga,21-167,2002,1.2,0,0,0,0
717,Kingsley Ehizibue,nl NED,DF,Udinese,it Serie A,28-254,1995,1.9,4,2.08,0,0
718,Hjalmar Ekdal,se SWE,DF,Burnley,eng Premier League,25-105,1998,3.1,2,0.64,0,0
719,Hugo Ekitike,fr FRA,FW,Paris S-G,fr Ligue 1,21-228,2002,0.1,0,0,0,0
720,Emmanuel Ekong,se SWE,FW,Empoli,it Serie A,21-223,2002,0.1,1,18,0,0
721,Caleb Ekuban,gh GHA,FW,Genoa,it Serie A,29-317,1994,6.9,23,3.36,2,0.29
722,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,eng Premier League,21-282,2002,15.3,37,2.42,8,0.52
723,Simon Elisor,fr FRA,FW,Metz,fr Ligue 1,24-196,1999,8.5,19,2.24,1,0.12
724,Harvey Elliott,eng ENG,"MF,FW",Liverpool,eng Premier League,20-305,2003,5.5,20,3.61,1,0.18
725,Elif Elmas,mk MKD,"FW,MF",Napoli,it Serie A,24-132,1999,3.8,9,2.4,0,0
726,Elif Elmas,mk MKD,"MF,DF",RB Leipzig,de Bundesliga,24-132,1999,0.3,1,3.75,0,0
727,Mohamed Elneny,eg EGY,MF,Arsenal,eng Premier League,31-207,1992,0,0,0,0,0
728,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,29-312,1994,5.5,7,1.28,2,0.37
729,Nico Elvedi,ch SUI,DF,M'Gladbach,de Bundesliga,27-126,1996,14.9,13,0.87,1,0.07
730,Adri Embarba,es ESP,"FW,MF",Almería,es La Liga,31-272,1992,15.2,60,3.96,2,0.13
731,Emanuel Emegha,nl NED,FW,Strasbourg,fr Ligue 1,21-000,2003,12.3,14,1.14,1,0.08
732,Emerson,br BRA,DF,Tottenham,eng Premier League,25-020,1999,8.7,14,1.61,1,0.11
733,Youssef En-Nesyri,ma MAR,FW,Sevilla,es La Liga,26-247,1997,13.3,11,0.83,4,0.3
734,Wataru Endo,jp JPN,MF,Liverpool,eng Premier League,30-359,1993,7.8,21,2.68,0,0
735,Arne Engels,be BEL,"MF,DF",Augsburg,de Bundesliga,20-148,2003,8.9,29,3.27,5,0.56
736,Christian Eriksen,dk DEN,MF,Manchester Utd,eng Premier League,31-354,1992,9.4,27,2.86,2,0.21
737,Martin Erlic,hr CRO,DF,Sassuolo,it Serie A,26-010,1998,18.3,10,0.55,1,0.05
738,Gonzalo Escalante,ar ARG,MF,Cádiz,es La Liga,30-313,1993,10.3,10,0.97,2,0.19
739,Alfonso Espino,uy URU,DF,Rayo Vallecano,es La Liga,32-029,1992,18.9,33,1.75,0,0
740,Bernardo Espinosa,co COL,DF,Girona,es La Liga,34-207,1989,0,0,0,0,0
741,Maxime Estève,fr FRA,DF,Montpellier,fr Ligue 1,21-253,2002,11.1,11,0.93,1,0.08
742,Oscar Estupiñan,co COL,FW,Metz,fr Ligue 1,27-036,1996,2.9,2,0.69,0,0
743,Pervis Estupiñán,ec ECU,DF,Brighton,eng Premier League,26-013,1998,8.3,28,3.38,2,0.24
744,Karl Etta,cm CMR,FW,Cádiz,es La Liga,20-033,2004,0.2,0,0,0,0
745,Jonny Evans,nir NIR,DF,Manchester Utd,eng Premier League,36-031,1988,9.8,6,0.61,1,0.1
746,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,eng Premier League,25-219,1998,12.9,63,4.88,3,0.23
747,Abdessamad Ezzalzouli,ma MAR,"FW,MF",Barcelona,es La Liga,22-048,2001,0.8,2,2.65,0,0
748,Abdessamad Ezzalzouli,ma MAR,FW,Betis,es La Liga,22-048,2001,5.6,14,2.48,2,0.35
749,Giovanni Fabbian,it ITA,"MF,FW",Bologna,it Serie A,21-020,2003,4.9,13,2.68,1,0.21
750,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,38-291,1985,3,0,0,0,0
751,Nicolò Fagioli,it ITA,MF,Juventus,it Serie A,22-356,2001,3.8,13,3.44,1,0.26
752,Romain Faivre,fr FRA,MF,Bournemouth,eng Premier League,25-204,1998,0,0,0,0,0
753,Romain Faivre,fr FRA,"MF,FW",Lorient,fr Ligue 1,25-204,1998,16.1,43,2.66,6,0.37
754,Radamel Falcao,co COL,"FW,DF",Rayo Vallecano,es La Liga,37-358,1986,2.1,7,3.26,0,0
755,Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,28-297,1995,23,1,0.04,1,0.04
756,Fali,es ESP,DF,Cádiz,es La Liga,30-175,1993,19.6,10,0.51,0,0
757,Davide Faraoni,it ITA,DF,Hellas Verona,it Serie A,32-101,1991,6.7,21,3.13,2,0.3
758,Davide Faraoni,it ITA,DF,Fiorentina,it Serie A,32-101,1991,2.5,3,1.2,1,0.4
759,Ansu Fati,es ESP,"MF,FW",Brighton,eng Premier League,21-095,2002,3.2,14,4.32,2,0.62
760,Ansu Fati,es ESP,"MF,FW",Barcelona,es La Liga,21-095,2002,0.6,1,1.8,0,0
761,Khalil Fayad,fr FRA,"FW,MF",Montpellier,fr Ligue 1,19-239,2004,8.3,12,1.45,0,0
762,Federico Fazio,ar ARG,DF,Salernitana,it Serie A,36-323,1987,9.3,7,0.76,1,0.11
763,Jacopo Fazzini,it ITA,MF,Empoli,it Serie A,20-324,2003,9.1,29,3.2,1,0.11
764,Nabil Fekir,fr FRA,"FW,MF",Betis,es La Liga,30-200,1993,1.7,13,7.65,1,0.59
765,Felipe,br BRA,DF,Nott'ham Forest,eng Premier League,34-263,1989,1.5,3,2.05,0,0
766,Luiz Felipe,it ITA,DF,Betis,es La Liga,26-318,1997,4,2,0.5,0,0
767,João Félix,pt POR,FW,Barcelona,es La Liga,24-085,1999,11.9,45,3.79,7,0.59
768,Ohis Felix Uduokhai,de GER,DF,Augsburg,de Bundesliga,26-147,1997,17.5,7,0.4,0,0
769,Kiko Femenía,es ESP,"DF,MF",Villarreal,es La Liga,33-001,1991,4.6,11,2.39,2,0.43
770,Evan Ferguson,ie IRL,FW,Brighton,eng Premier League,19-107,2004,11.5,19,1.65,1,0.09
771,Lewis Ferguson,sct SCO,MF,Bologna,it Serie A,24-163,1999,19.9,47,2.36,7,0.35
772,Bruno Fernandes,pt POR,"MF,FW",Manchester Utd,eng Premier League,29-148,1994,21,120,5.71,12,0.57
773,Edimilson Fernandes,ch SUI,DF,Mainz 05,de Bundesliga,27-294,1996,10.7,28,2.61,2,0.19
774,Aitor Fernández,es ESP,GK,Osasuna,es La Liga,32-276,1991,4.1,1,0.24,0,0
775,Álex Fernández,es ESP,"MF,FW",Cádiz,es La Liga,31-111,1992,8.5,10,1.17,0,0
776,Carlos Fernández,es ESP,FW,Real Sociedad,es La Liga,27-257,1996,4.5,3,0.66,1,0.22
777,Enzo Fernández,ar ARG,MF,Chelsea,eng Premier League,23-017,2001,16,53,3.31,4,0.25
778,Raúl Fernández,es ESP,GK,Granada,es La Liga,35-327,1988,3.1,0,0,0,0
779,Valery Fernández,es ESP,"MF,DF",Girona,es La Liga,24-072,1999,4.5,9,2,2,0.45
780,Fernando,es ESP,GK,Almería,es La Liga,33-238,1990,2,1,0.5,1,0.5
781,Fernando,br BRA,MF,Sevilla,es La Liga,36-193,1987,5.1,8,1.57,0,0
782,Ichem Ferrah,fr FRA,FW,Lille,fr Ligue 1,18-133,2005,0,0,0,0,0
783,André Ferreira,pt POR,GK,Granada,es La Liga,27-250,1996,14.9,2,0.13,0,0
784,João Ferreira,pt POR,DF,Udinese,it Serie A,22-318,2001,13.5,22,1.63,2,0.15
785,Jordan Ferri,fr FRA,MF,Montpellier,fr Ligue 1,31-328,1992,13,36,2.77,1,0.08
786,Nacho Ferri,es ESP,"FW,MF",Eint Frankfurt,de Bundesliga,19-121,2004,0.6,2,3.4,1,1.7
787,Rachad Fettal,ma MAR,FW,Almería,es La Liga,19-018,2005,0.2,,,,
788,Seydou Fini,it ITA,"DF,FW",Genoa,it Serie A,17-246,2006,0.4,1,2.5,0,0
789,Max Finkgräfe,de GER,"DF,MF",Köln,de Bundesliga,19-313,2004,6.1,13,2.14,0,0
790,Kilian Fischer,de GER,DF,Wolfsburg,de Bundesliga,23-114,2000,0.1,0,0,0,0
791,John Fleck,sct SCO,"MF,DF",Sheffield Utd,eng Premier League,32-163,1991,1,4,3.91,0,0
792,Mark Flekken,nl NED,GK,Brentford,eng Premier League,30-235,1993,19.5,1,0.05,0,0
793,Alessandro Florenzi,it ITA,DF,Milan,it Serie A,32-329,1991,10.4,40,3.83,2,0.19
794,Phil Foden,eng ENG,"FW,MF",Manchester City,eng Premier League,23-251,2000,18.7,84,4.5,12,0.64
795,Wes Foderingham,eng ENG,GK,Sheffield Utd,eng Premier League,33-020,1991,21.4,2,0.09,0,0
796,Malick Fofana,be BEL,"DF,FW",Lyon,fr Ligue 1,18-309,2005,0.7,1,1.36,0,0
797,Youssouf Fofana,fr FRA,MF,Monaco,fr Ligue 1,25-024,1999,16.5,53,3.22,9,0.55
798,Jonas Föhrenbach,de GER,DF,Heidenheim,de Bundesliga,28-008,1996,18.1,30,1.66,3,0.17
799,Thomas Foket,be BEL,DF,Reims,fr Ligue 1,29-131,1994,14.3,18,1.26,5,0.35
800,Michael Folorunsho,ng NGA,"MF,FW",Hellas Verona,it Serie A,25-361,1998,19.7,28,1.42,2,0.1
801,Pablo Fornals,es ESP,"MF,FW",West Ham,eng Premier League,27-346,1996,4.7,16,3.37,1,0.21
802,Emil Forsberg,se SWE,"MF,FW",RB Leipzig,de Bundesliga,32-103,1991,5.2,16,3.1,4,0.78
803,Omari Forson,eng ENG,FW,Manchester Utd,eng Premier League,19-198,2004,0.1,0,0,0,0
804,Philipp Förster,de GER,"MF,FW",Bochum,de Bundesliga,28-364,1995,3.2,15,4.72,0,0
805,Héctor Fort,es ESP,DF,Barcelona,es La Liga,17-185,2006,0.5,0,0,0,0
806,Lyle Foster,za RSA,FW,Burnley,eng Premier League,23-153,2000,11.5,19,1.65,3,0.26
807,Dimitri Foulquier,fr FRA,"DF,MF",Valencia,es La Liga,30-317,1993,9.3,6,0.65,1,0.11
808,Juan Foyth,ar ARG,DF,Villarreal,es La Liga,26-022,1998,11.8,12,1.02,1,0.08
809,Matheus França,br BRA,"FW,MF",Crystal Palace,eng Premier League,19-308,2004,0.7,5,7.03,0,0
810,Bartol Franjić,hr CRO,MF,Darmstadt 98,de Bundesliga,24-020,2000,8.6,12,1.39,2,0.23
811,Przemysław Frankowski,pl POL,DF,Lens,fr Ligue 1,28-297,1995,11.8,31,2.62,1,0.08
812,Nathan Fraser,ie IRL,FW,Wolves,eng Premier League,18-346,2005,0.1,0,0,0,0
813,Davide Frattesi,it ITA,MF,Inter,it Serie A,24-104,1999,5.2,12,2.3,2,0.38
814,Jean Frederic N'Guessan,ci CIV,"MF,FW",Metz,fr Ligue 1,20-292,2003,1.2,4,3.24,0,0
815,Morten Frendrup,dk DEN,MF,Genoa,it Serie A,22-302,2001,20.2,36,1.78,5,0.25
816,Remo Freuler,ch SUI,MF,Bologna,it Serie A,31-294,1992,15,18,1.2,1,0.07
817,Marco Friedl,at AUT,DF,Werder Bremen,de Bundesliga,25-324,1998,14.4,4,0.28,1,0.07
818,Marvin Friedrich,de GER,DF,M'Gladbach,de Bundesliga,28-052,1995,8.4,8,0.95,1,0.12
819,Jeremie Frimpong,nl NED,DF,Leverkusen,de Bundesliga,23-055,2000,16.9,53,3.13,6,0.35
820,Jorge de Frutos,es ESP,"MF,FW",Rayo Vallecano,es La Liga,26-348,1997,7.2,16,2.21,0,0
821,Chris Führich,de GER,"FW,MF",Stuttgart,de Bundesliga,26-025,1998,16.9,95,5.63,14,0.83
822,Shiō Fukuda,jp JPN,FW,M'Gladbach,de Bundesliga,19-301,2004,0.1,0,0,0,0
823,Angelo Fulgini,fr FRA,MF,Lens,fr Ligue 1,27-167,1996,9.4,41,4.36,4,0.43
824,Niclas Füllkrug,de GER,FW,Werder Bremen,de Bundesliga,30-359,1993,2,7,3.5,0,0
825,Niclas Füllkrug,de GER,FW,Dortmund,de Bundesliga,30-359,1993,14.9,37,2.48,7,0.47
826,Matteo Gabbia,it ITA,DF,Milan,it Serie A,24-105,1999,3.1,2,0.65,0,0
827,Matteo Gabbia,it ITA,DF,Villarreal,es La Liga,24-105,1999,5.3,5,0.94,1,0.19
828,Gianluca Gaetano,it ITA,MF,Napoli,it Serie A,23-274,2000,1.8,8,4.44,1,0.56
829,Roberto Gagliardini,it ITA,"MF,DF",Monza,it Serie A,29-302,1994,18.9,42,2.22,1,0.05
830,Cody Gakpo,nl NED,"FW,MF",Liverpool,eng Premier League,24-272,1999,9.6,29,3.02,3,0.31
831,Javi Galán,es ESP,DF,Atlético Madrid,es La Liga,29-076,1994,1,4,4.04,0,0
832,Javi Galán,es ESP,DF,Real Sociedad,es La Liga,29-076,1994,1,1,1,0,0
833,Iñigo Ruiz de Galarreta,es ESP,MF,Athletic Club,es La Liga,30-181,1993,14.5,35,2.41,7,0.48
834,Pablo Galdames Millán,cl CHI,"MF,DF",Genoa,it Serie A,27-035,1996,0.1,0,0,0,0
835,Conor Gallagher,eng ENG,MF,Chelsea,eng Premier League,23-362,2000,19.2,62,3.22,7,0.36
836,Antonino Gallo,it ITA,DF,Lecce,it Serie A,24-029,2000,14.9,38,2.55,3,0.2
837,Cristian Gamboa,cr CRC,DF,Bochum,de Bundesliga,34-102,1989,11.6,17,1.47,2,0.17
838,Kévin Gameiro,fr FRA,"FW,MF",Strasbourg,fr Ligue 1,36-270,1987,8.8,30,3.42,4,0.46
839,Idrissa Gana Gueye,sn SEN,MF,Everton,eng Premier League,34-130,1989,11.2,29,2.58,3,0.27
840,Ignatius Ganago,cm CMR,"FW,MF",Nantes,fr Ligue 1,24-352,1999,2,5,2.45,0,0
841,Aleix García,es ESP,MF,Girona,es La Liga,26-220,1997,20.9,83,3.98,16,0.77
842,Álvaro García,es ESP,"MF,FW",Rayo Vallecano,es La Liga,31-099,1992,17,50,2.95,4,0.24
843,Dani García,es ESP,MF,Athletic Club,es La Liga,33-255,1990,4.5,1,0.22,0,0
844,David García,es ESP,DF,Osasuna,es La Liga,29-354,1994,21,11,0.52,3,0.14
845,Eric García,es ESP,DF,Barcelona,es La Liga,23-025,2001,0.6,1,1.58,0,0
846,Eric García,es ESP,DF,Girona,es La Liga,23-025,2001,13.6,17,1.25,4,0.3
847,Fran Garcia,es ESP,DF,Real Madrid,es La Liga,24-173,1999,10,27,2.69,3,0.3
848,Francisco Jesús Crespo García,es ESP,FW,Las Palmas,es La Liga,27-189,1996,4.9,15,3.05,0,0
849,Gonzalo García,es ESP,"FW,MF",Real Madrid,es La Liga,19-316,2004,0.2,0,0,0,0
850,Raúl García,es ESP,"FW,MF",Athletic Club,es La Liga,37-207,1986,1.5,2,1.34,0,0
851,Rubén García,es ESP,"FW,MF",Osasuna,es La Liga,30-204,1993,7.4,30,4.08,2,0.27
852,Santiago García,,FW,Getafe,es La Liga,22-158,2001,0.3,0,0,0,0
853,Ulisses Garcia,ch SUI,DF,Marseille,fr Ligue 1,28-023,1996,1,2,2,0,0
854,Unai García,es ESP,DF,Osasuna,es La Liga,32-000,1992,1.7,2,1.15,0,0
855,Alejandro Garnacho,ar ARG,FW,Manchester Utd,eng Premier League,19-217,2004,13.8,55,3.98,7,0.51
856,James Garner,eng ENG,MF,Everton,eng Premier League,22-327,2001,19.9,59,2.97,4,0.2
857,Luca Garritano,it ITA,"MF,DF",Frosinone,it Serie A,29-357,1994,5.3,15,2.81,3,0.56
858,Johan Gastien,fr FRA,MF,Clermont Foot,fr Ligue 1,36-009,1988,12.6,34,2.69,2,0.16
859,Federico Gatti,it ITA,DF,Juventus,it Serie A,25-224,1998,17.3,15,0.87,1,0.06
860,Federico Gattoni,ar ARG,"DF,FW",Sevilla,es La Liga,24-352,1999,0.1,0,0,0,0
861,Gavi,es ESP,"MF,FW",Barcelona,es La Liga,19-182,2004,10.5,27,2.57,3,0.29
862,Paulo Gazzaniga,ar ARG,GK,Girona,es La Liga,32-032,1992,22,10,0.45,1,0.05
863,Yann Gboho,fr FRA,FW,Toulouse,fr Ligue 1,23-020,2001,0.5,2,4.39,0,0
864,Gelabert,es ESP,"FW,MF",Toulouse,fr Ligue 1,23-095,2000,7.7,18,2.34,3,0.39
865,Francesco Gelli,it ITA,"MF,DF",Frosinone,it Serie A,27-111,1996,11.7,32,2.74,1,0.09
866,Luca Gemello,it ITA,GK,Torino,it Serie A,23-215,2000,1,0,0,0,0
867,Valentin Gendrey,fr FRA,DF,Lecce,it Serie A,23-227,2000,21.5,40,1.86,3,0.14
868,Denis Genreau,au AUS,"FW,MF",Toulouse,fr Ligue 1,24-258,1999,4.8,11,2.3,0,0
869,Yannick Gerhardt,de GER,"MF,FW",Wolfsburg,de Bundesliga,29-327,1994,8.7,18,2.06,0,0
870,Anwar El Ghazi,nl NED,"MF,DF",Mainz 05,de Bundesliga,28-276,1995,0.6,4,6.67,1,1.67
871,Farés Ghedjemis,fr FRA,"MF,FW",Frosinone,it Serie A,21-150,2002,1.1,2,1.8,1,0.9
872,Saman Ghoddos,ir IRN,DF,Brentford,eng Premier League,30-150,1993,7.8,19,2.45,0,0
873,Morgan Gibbs-White,eng ENG,"MF,FW",Nott'ham Forest,eng Premier League,24-007,2000,19.7,79,4,8,0.41
874,Samuel Gigot,fr FRA,DF,Marseille,fr Ligue 1,30-114,1993,12.7,14,1.1,2,0.16
875,Bryan Gil,es ESP,"FW,MF",Tottenham,eng Premier League,22-357,2001,2.1,7,3.3,1,0.47
876,David Gil,es ESP,GK,Cádiz,es La Liga,30-023,1994,3.1,0,0,0,0
877,Mario Gila,es ESP,DF,Lazio,it Serie A,23-158,2000,9,5,0.56,0,0
878,Alfie Gilchrist,eng ENG,"DF,FW",Chelsea,eng Premier League,20-067,2003,0,0,0,0,0
879,Billy Gilmour,sct SCO,MF,Brighton,eng Premier League,22-237,2001,15.9,53,3.34,6,0.38
880,Benedikt Gimber,de GER,DF,Heidenheim,de Bundesliga,26-349,1997,10.2,6,0.59,1,0.1
881,Gvidas Gineitis,lt LTU,MF,Torino,it Serie A,19-294,2004,2.4,2,0.84,0,0
882,Matthias Ginter,de GER,DF,Freiburg,de Bundesliga,30-015,1994,17.3,27,1.56,4,0.23
883,Olivier Giroud,fr FRA,FW,Milan,it Serie A,37-126,1986,15.8,36,2.28,9,0.57
884,Klaus Gjasula,al ALB,"DF,MF",Darmstadt 98,de Bundesliga,34-051,1989,8,8,1,0,0
885,Serge Gnabry,de GER,"FW,MF",Bayern Munich,de Bundesliga,28-204,1995,2.5,11,4.38,0,0
886,Ben Godfrey,eng ENG,DF,Everton,eng Premier League,26-019,1998,2,7,3.48,0,0
887,Edoardo Goldaniga,it ITA,DF,Cagliari,it Serie A,30-093,1993,11.2,15,1.34,1,0.09
888,Pierluigi Gollini,it ITA,GK,Napoli,it Serie A,28-322,1995,5,0,0,0,0
889,Aleksandr Golovin,ru RUS,MF,Monaco,fr Ligue 1,27-249,1996,16.1,71,4.4,4,0.25
890,André Gomes,pt POR,MF,Everton,eng Premier League,30-188,1993,1.8,5,2.83,0,0
891,Angel Gomes,eng ENG,MF,Lille,fr Ligue 1,23-156,2000,16.2,56,3.45,6,0.37
