Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,shortCmp,shortAtt,shortCmp%,longCmp,longAtt,longCmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
135,Pierre-Emerick Aubameyang,ga GAB,FW,Marseille,fr Ligue 1,34-230,1989,15.4,248,347,71.5,3378,801,146,189,77.2,9,21,42.9,7,4.5,2.9,2.5,19,19,15,2,33,Matches
136,Tommaso Augello,it ITA,DF,Cagliari,it Serie A,29-157,1994,14.6,517,744,69.5,8940,3774,237,269,88.1,50,124,40.3,0,1.4,1.4,-1.4,17,34,13,9,43,Matches
137,Yann Aurel Bisseck,de GER,DF,Inter,it Serie A,23-066,2000,4.3,282,307,91.9,4823,1450,119,126,94.4,19,21,90.5,0,0.5,0.3,-0.5,1,17,3,0,23,Matches
138,Serge Aurier,ci CIV,"DF,MF",Nott'ham Forest,eng Premier League,31-041,1992,9.3,348,448,77.7,5238,2147,191,225,84.9,17,45,37.8,2,0.5,0.5,1.5,4,31,9,4,47,Matches
139,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,es La Liga,29-362,1994,9.6,232,371,62.5,5068,1419,94,122,77,59,109,54.1,3,2.3,2.7,0.7,21,25,18,7,39,Matches
140,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,eng Premier League,26-175,1997,7.9,86,122,70.5,1084,200,56,70,80,1,3,33.3,2,0.8,0.4,1.2,9,4,1,0,10,Matches
141,André Ayew,gh GHA,"MF,FW",Le Havre,fr Ligue 1,34-048,1989,0.6,15,20,75,216,41,11,12,91.7,1,2,50,0,0.2,0.1,-0.2,1,2,0,0,1,Matches
142,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,eng Premier League,32-145,1991,18.2,444,594,74.7,6488,1206,275,317,86.8,16,46,34.8,5,3.5,2,1.5,17,27,18,7,47,Matches
143,Neil El Aynaoui,fr FRA,MF,Lens,fr Ligue 1,22-216,2001,8.1,259,303,85.5,3656,1014,131,156,84,8,14,57.1,1,0.6,0.7,0.4,8,27,8,1,38,Matches
144,Sardar Azmoun,ir IRN,"FW,MF",Roma,it Serie A,29-033,1995,2.7,57,79,72.2,803,163,32,45,71.1,1,1,100,0,0.7,0.2,-0.7,3,6,2,0,7,Matches
145,César Azpilicueta,es ESP,DF,Atlético Madrid,es La Liga,34-159,1989,10.6,617,729,84.6,9083,3615,356,381,93.4,32,69,46.4,1,2,1.5,-1,9,57,9,0,53,Matches
146,Paulo Azzi,br BRA,"DF,MF",Cagliari,it Serie A,29-203,1994,8.1,255,393,64.9,4125,1661,131,164,79.9,15,52,28.8,0,0.4,0.3,-0.4,7,17,8,4,30,Matches
147,Oussama El Azzouzi,ma MAR,MF,Bologna,it Serie A,22-250,2001,2.2,138,152,90.8,2270,534,73,78,93.6,12,15,80,1,0.3,0.1,0.7,2,12,0,0,6,Matches
148,Abdellah Baallal,ma MAR,MF,Clermont Foot,fr Ligue 1,19-088,2004,0,3,4,75,40,0,2,3,66.7,0,0,,0,0,0,0,0,0,0,0,0,Matches
149,Iddrisu Baba,gh GHA,MF,Almería,es La Liga,28-012,1996,10.8,394,473,83.3,7219,2025,162,192,84.4,41,50,82,0,0.6,0.4,-0.6,5,42,3,2,48,Matches
150,Srđan Babić,rs SRB,DF,Almería,es La Liga,27-287,1996,1,58,62,93.5,1267,388,13,13,100,8,8,100,0,0,0,0,0,2,0,0,6,Matches
151,Shavy Babicka,ga GAB,FW,Toulouse,fr Ligue 1,23-247,2000,0.7,11,15,73.3,170,15,6,9,66.7,0,0,,0,0,0,0,0,1,0,0,0,Matches
152,Aliou Badara Baldé,sn SEN,FW,Nice,fr Ligue 1,21-053,2002,0.5,3,8,37.5,25,2,2,4,50,0,1,0,0,0,0,0,0,0,0,0,0,Matches
