Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,shortCmp,shortAtt,shortCmp%,longCmp,longAtt,longCmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
363,Reece Burke,eng ENG,DF,Luton Town,eng Premier League,27-154,1996,7.6,159,243,65.4,2945,1151,59,85,69.4,18,41,43.9,1,0.4,0.2,0.6,6,13,5,1,24,Matches
364,Dan Burn,eng ENG,DF,Newcastle Utd,eng Premier League,31-270,1992,15.9,732,899,81.4,11371,4514,388,435,89.2,25,54,46.3,1,0.7,0.5,0.3,5,42,6,2,49,Matches
365,Rareș-Cătălin Burnete,ro ROU,FW,Lecce,it Serie A,20-003,2004,0.1,1,1,100,8,0,1,1,100,0,0,,1,0.1,0,0.9,1,0,0,0,0,Matches
366,Mason Burstow,eng ENG,FW,Chelsea,eng Premier League,20-183,2003,0.1,3,4,75,29,1,3,3,100,0,0,,0,0,0,0,0,0,0,0,0,Matches
367,Marnon Busch,de GER,DF,Heidenheim,de Bundesliga,29-057,1994,4.5,194,269,72.1,3732,1469,83,96,86.5,26,48,54.2,0,0.2,0.5,-0.2,4,27,7,2,24,Matches
368,Maxime Busi,be BEL,"FW,DF",Reims,fr Ligue 1,24-112,1999,1.3,54,71,76.1,929,317,22,22,100,3,6,50,0,0.2,0.1,-0.2,3,1,1,0,2,Matches
369,Pablo Busto,es ESP,DF,Betis,es La Liga,18-141,2005,0.5,11,16,68.8,166,66,7,9,77.8,1,2,50,0,0.2,0.1,-0.2,1,1,1,0,1,Matches
370,Aurélio Buta,pt POR,"DF,MF",Eint Frankfurt,de Bundesliga,26-358,1997,11.1,490,630,77.8,7056,2518,279,326,85.6,24,46,52.2,1,0.7,1.3,0.3,7,36,22,4,49,Matches
371,Marcin Bułka,pl POL,GK,Nice,fr Ligue 1,24-122,1999,19,616,684,90.1,12677,7672,202,202,100,106,169,62.7,0,0,0,0,0,0,0,0,0,Matches
372,Jamie Bynoe-Gittens,eng ENG,"FW,MF",Dortmund,de Bundesliga,19-179,2004,6.2,146,196,74.5,2038,366,96,115,83.5,7,14,50,3,1.8,1.5,1.2,8,8,10,0,15,Matches
373,Juan Cabal,co COL,DF,Hellas Verona,it Serie A,23-026,2001,2.5,115,152,75.7,1984,768,55,63,87.3,9,22,40.9,0,0.2,0.2,-0.2,5,18,5,3,21,Matches
374,Rémy Cabella,fr FRA,"MF,FW",Lille,fr Ligue 1,33-332,1990,10.9,499,620,80.5,7116,2047,283,320,88.4,25,52,48.1,1,2.8,3,-1.8,28,46,14,0,79,Matches
375,Jovane Cabral,cv CPV,"MF,FW",Salernitana,it Serie A,25-234,1998,7.5,185,245,75.5,3216,1015,86,100,86,23,37,62.2,0,0.4,0.6,-0.4,10,22,12,3,40,Matches
376,Liberato Cacace,nz NZL,DF,Empoli,it Serie A,23-129,2000,13.5,567,735,77.1,9060,3542,312,343,91,42,108,38.9,0,0.5,0.6,-0.5,9,45,8,2,55,Matches
377,Anthony Caci,fr FRA,DF,Mainz 05,de Bundesliga,26-217,1997,14.7,602,828,72.7,12367,4821,215,259,83,100,176,56.8,0,0.6,1,-0.6,7,52,17,4,68,Matches
378,Moisés Caicedo,ec ECU,MF,Chelsea,eng Premier League,22-093,2001,16.9,977,1072,91.1,15387,3994,522,556,93.9,65,77,84.4,0,1,0.7,-1,10,87,5,0,83,Matches
379,Tom Cairney,sct SCO,MF,Fulham,eng Premier League,33-014,1991,11.1,775,866,89.5,11899,2592,423,442,95.7,51,80,63.8,3,1.5,2,1.5,14,62,16,3,95,Matches
380,Jens Cajuste,se SWE,MF,Napoli,it Serie A,24-177,1999,5.8,213,247,86.2,3215,651,119,129,92.2,10,12,83.3,1,0.2,0.2,0.8,4,18,5,0,19,Matches
381,Davide Calabria,it ITA,DF,Milan,it Serie A,27-059,1996,16.3,879,1032,85.2,15044,4519,385,423,91,59,106,55.7,3,1,1.3,2,8,67,16,10,88,Matches
382,Riccardo Calafiori,it ITA,DF,Bologna,it Serie A,21-260,2002,16.3,960,1071,89.6,16706,4905,405,436,92.9,69,92,75,1,0.5,0.5,0.5,7,55,3,1,52,Matches
383,Luca Caldirola,it ITA,DF,Monza,it Serie A,33-002,1991,19.9,1047,1160,90.3,19981,6702,379,389,97.4,105,158,66.5,1,0.6,0.1,0.4,4,54,1,1,45,Matches
384,Duje Ćaleta-Car,hr CRO,DF,Lyon,fr Ligue 1,27-139,1996,8.1,379,425,89.2,6986,2525,136,143,95.1,24,43,55.8,0,0.4,0.5,-0.4,4,9,1,0,18,Matches
385,Hakan Çalhanoğlu,tr TUR,MF,Inter,it Serie A,29-360,1994,18,1189,1364,87.2,21491,6685,518,552,93.8,145,210,69,3,3.3,3.8,-0.3,33,124,23,7,115,Matches
386,José Callejón,es ESP,"MF,FW",Granada,es La Liga,36-357,1987,6.9,207,270,76.7,3652,1052,104,112,92.9,26,52,50,1,0.8,0.8,0.2,9,16,11,2,24,Matches
387,Dominic Calvert-Lewin,eng ENG,FW,Everton,eng Premier League,26-324,1997,13.5,135,244,55.3,1632,338,97,148,65.5,3,7,42.9,0,0.6,0.6,-0.6,12,7,6,0,17,Matches
388,Lamine Camara,sn SEN,MF,Metz,fr Ligue 1,20-033,2004,13.4,374,502,74.5,8191,2399,107,137,78.1,79,123,64.2,2,1.4,1.1,0.6,22,44,7,1,50,Matches
389,Mahdi Camara,fr FRA,MF,Brest,fr Ligue 1,25-218,1998,12.6,390,470,83,5897,1352,197,229,86,20,28,71.4,2,2,1.5,0,18,39,12,6,43,Matches
390,Mohamed Camara,ml MLI,MF,Monaco,fr Ligue 1,24-028,2000,8,496,539,92,8660,2386,210,220,95.5,54,63,85.7,0,0.4,0.7,-0.4,9,58,7,0,55,Matches
391,Francesco Camarda,it ITA,FW,Milan,it Serie A,15-330,2008,0.2,0,0,,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
392,Eduardo Camavinga,fr FRA,"MF,DF",Real Madrid,es La Liga,21-085,2002,9.8,575,641,89.7,9272,2397,283,301,94,41,54,75.9,1,0.6,0.8,0.4,12,49,6,3,55,Matches
393,Nicolò Cambiaghi,it ITA,"FW,MF",Empoli,it Serie A,23-037,2000,16.5,296,433,68.4,4523,958,153,177,86.4,16,37,43.2,1,1.1,1.5,-0.1,13,9,17,9,39,Matches
394,Andrea Cambiaso,it ITA,"DF,FW",Juventus,it Serie A,23-348,2000,13.2,478,569,84,7091,1419,271,302,89.7,23,34,67.6,3,1.5,1.3,1.5,13,15,8,5,26,Matches
395,Axel Camblan,fr FRA,FW,Brest,fr Ligue 1,20-157,2003,0.8,14,15,93.3,247,37,1,1,100,1,1,100,0,0,0,0,1,0,0,0,1,Matches
396,Sergio Camello,es ESP,FW,Rayo Vallecano,es La Liga,22-358,2001,10.4,150,202,74.3,2034,417,91,110,82.7,7,14,50,1,0.6,1,0.4,12,10,10,0,23,Matches
397,Emre Can,de GER,"MF,DF",Dortmund,de Bundesliga,30-022,1994,12,659,768,85.8,12105,3578,259,293,88.4,63,92,68.5,2,1.4,0.8,0.6,16,64,2,0,64,Matches
398,Matteo Cancellieri,it ITA,"FW,MF",Empoli,it Serie A,21-356,2002,12.4,147,261,56.3,2164,593,79,107,73.8,8,28,28.6,2,1.9,1.3,0.1,9,8,3,2,16,Matches
399,João Cancelo,pt POR,DF,Barcelona,es La Liga,29-252,1994,15.6,920,1117,82.4,14819,4215,518,561,92.3,67,115,58.3,2,4.1,4,-2.1,25,89,24,7,91,Matches
400,Fali Candé,gw GNB,DF,Metz,fr Ligue 1,26-010,1998,12.4,369,473,78,8657,3316,76,97,78.4,74,120,61.7,1,0.4,0.2,0.6,5,31,2,0,22,Matches
401,Antonio Candreva,it ITA,"MF,FW",Salernitana,it Serie A,36-340,1987,18.8,586,822,71.3,10321,3667,277,311,89.1,75,153,49,4,3.6,3.1,0.4,45,56,42,17,82,Matches
402,Thomas Cannon,ie IRL,FW,Everton,eng Premier League,21-037,2002,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
403,Sergi Canós,es ESP,"MF,FW",Valencia,es La Liga,27-001,1997,6.4,111,181,61.3,1644,613,58,82,70.7,6,19,31.6,1,1.1,0.7,-0.1,4,14,6,1,23,Matches
404,Luigi Canotto,it ITA,FW,Frosinone,it Serie A,29-260,1994,0.2,2,3,66.7,21,9,2,2,100,0,0,,0,0,0,0,0,0,0,0,0,Matches
405,Gino Caoki,fr FRA,MF,Lorient,fr Ligue 1,19-201,2004,0.1,2,4,50,26,14,2,2,100,0,1,0,0,0,0,0,0,0,0,0,0,Matches
406,Étienne Capoue,fr FRA,MF,Villarreal,es La Liga,35-207,1988,13,547,633,86.4,8981,2382,292,321,91,45,62,72.6,1,0.6,0.7,0.4,9,53,7,0,60,Matches
407,Gianluca Caprari,it ITA,"MF,FW",Monza,it Serie A,30-188,1993,2.8,88,111,79.3,1602,463,44,47,93.6,15,21,71.4,0,0.7,0.7,-0.7,10,9,7,0,15,Matches
408,Elia Caprile,it ITA,GK,Empoli,it Serie A,22-162,2001,7,143,208,68.8,4229,3236,17,17,100,56,119,47.1,0,0,0,0,0,2,0,0,0,Matches
409,Francesco Caputo,it ITA,FW,Empoli,it Serie A,36-181,1987,12.2,147,193,76.2,1894,335,82,103,79.6,8,13,61.5,0,0.7,0.7,-0.7,9,9,3,0,18,Matches
410,Maxence Caqueret,fr FRA,MF,Lyon,fr Ligue 1,23-353,2000,18.6,972,1183,82.2,15690,6105,478,541,88.4,76,132,57.6,1,3.1,4.2,-2.1,33,122,31,5,156,Matches
411,Andrea Carboni,it ITA,DF,Monza,it Serie A,22-364,2001,8.7,494,574,86.1,8722,2713,207,225,92,37,68,54.4,0,0.2,0.2,-0.2,4,37,2,1,26,Matches
412,Valentin Carboni,ar ARG,MF,Monza,it Serie A,18-335,2005,5.7,222,264,84.1,3266,605,128,143,89.5,10,15,66.7,2,0.9,0.8,1.1,12,9,4,0,25,Matches
413,Isaac Carcelen,es ESP,DF,Cádiz,es La Liga,30-286,1993,18.4,490,665,73.7,8215,3015,247,282,87.6,36,91,39.6,0,0.6,0.5,-0.6,10,31,8,5,46,Matches
414,Irvin Cardona,fr FRA,"MF,DF",Augsburg,de Bundesliga,26-179,1997,0.6,8,15,53.3,132,70,4,4,100,0,1,0,0,0,0.1,0,0,1,0,0,2,Matches
415,Marc Cardona,es ESP,FW,Las Palmas,es La Liga,28-210,1995,4.7,96,128,75,1066,103,73,90,81.1,0,3,0,0,0.1,0.1,-0.1,1,3,3,0,5,Matches
416,Sergi Cardona,es ESP,DF,Las Palmas,es La Liga,24-210,1999,19.3,997,1256,79.4,14559,5849,579,658,88,48,108,44.4,1,1.8,2.3,-0.8,22,49,21,8,82,Matches
417,Johnny Cardoso,us USA,MF,Betis,es La Liga,22-136,2001,1.8,60,65,92.3,968,242,28,31,90.3,3,3,100,0,0,0.1,0,0,4,2,0,7,Matches
418,Igor Carioca,br BRA,"DF,MF",Lorient,fr Ligue 1,27-166,1996,2.9,115,162,71,1807,594,63,77,81.8,10,18,55.6,0,0.3,0.5,-0.3,2,5,3,2,8,Matches
419,Carlos,br BRA,DF,Inter,it Serie A,25-027,1999,9.2,338,448,75.4,5295,1905,175,203,86.2,27,48,56.3,1,1.6,1.7,-0.6,10,15,11,7,27,Matches
420,Diego Carlos,br BRA,DF,Aston Villa,eng Premier League,30-325,1993,10.9,599,685,87.4,11824,5170,188,202,93.1,52,103,50.5,0,0,0.3,0,2,47,3,0,38,Matches
421,Carmona,es ESP,"MF,FW",Getafe,es La Liga,22-005,2002,6.7,141,197,71.6,1960,586,91,104,87.5,8,21,38.1,1,0.5,0.4,0.5,6,13,4,1,13,Matches
422,Marco Carnesecchi,it ITA,GK,Atalanta,it Serie A,23-217,2000,11,238,352,67.6,7054,4916,25,25,100,94,202,46.5,0,0,0,0,0,3,0,0,0,Matches
423,Yannick Carrasco,be BEL,DF,Atlético Madrid,es La Liga,30-152,1993,2.5,65,88,73.9,1021,236,42,49,85.7,8,12,66.7,1,0.2,0.2,0.8,4,2,3,1,6,Matches
424,Álvaro Carreras,es ESP,"MF,FW",Granada,es La Liga,20-317,2003,5.3,169,222,76.1,2599,843,100,120,83.3,14,23,60.9,0,0.4,0.4,-0.4,7,10,8,3,14,Matches
425,Rasmus Carstensen,dk DEN,"DF,FW",Köln,de Bundesliga,23-115,2000,14,459,652,70.4,6731,2515,258,309,83.5,12,47,25.5,0,1.1,2.3,-1.1,11,17,15,6,42,Matches
426,Antonin Cartillier,fr FRA,DF,Monaco,fr Ligue 1,19-225,2004,0.1,1,3,33.3,10,7,1,1,100,0,2,0,0,0,0,0,0,0,0,0,0,Matches
427,Dani Carvajal,es ESP,DF,Real Madrid,es La Liga,32-023,1992,15.1,784,917,85.5,12207,2655,424,464,91.4,51,73,69.9,2,2.1,2.6,-0.1,17,34,21,3,60,Matches
428,Fabio Carvalho,pt POR,MF,RB Leipzig,de Bundesliga,21-157,2002,1.8,72,92,78.3,855,219,54,60,90,2,5,40,0,0.2,0.2,-0.2,2,6,6,1,9,Matches
429,William Carvalho,pt POR,MF,Betis,es La Liga,31-302,1992,3.6,275,317,86.8,4066,1342,167,182,91.8,16,24,66.7,2,0.2,0.2,1.8,4,38,4,0,27,Matches
430,Cesare Casadei,it ITA,MF,Chelsea,eng Premier League,21-024,2003,0.1,8,9,88.9,128,5,4,4,100,0,0,,0,0,0,0,0,0,0,0,0,Matches
431,Nicolò Casale,it ITA,DF,Lazio,it Serie A,25-354,1998,8,440,475,92.6,8281,2963,156,172,90.7,38,42,90.5,0,0,0.1,0,1,40,1,0,32,Matches
432,Casemiro,br BRA,MF,Manchester Utd,eng Premier League,31-345,1992,8,398,483,82.4,6647,2278,205,230,89.1,33,57,57.9,0,0.3,0.4,-0.3,7,47,10,2,58,Matches
433,Matty Cash,pl POL,DF,Aston Villa,eng Premier League,26-180,1997,15.2,617,766,80.5,9625,2742,329,360,91.4,31,67,46.3,1,1.7,1.9,-0.7,9,36,11,6,53,Matches
434,Josué Casimir,fr FRA,"DF,FW",Le Havre,fr Ligue 1,22-132,2001,13.6,379,509,74.5,5882,1852,188,236,79.7,22,49,44.9,3,2.9,1.9,0.1,19,22,12,3,40,Matches
435,Giuseppe Caso,it ITA,"FW,MF",Frosinone,it Serie A,25-056,1998,4.4,88,104,84.6,1069,379,61,67,91,3,4,75,0,0.2,0.2,-0.2,3,5,7,0,18,Matches
436,Cristian Cásseres Jr.,ve VEN,MF,Toulouse,fr Ligue 1,24-014,2000,13.2,497,611,81.3,8857,2377,215,253,85,52,75,69.3,2,1.3,1.4,0.7,8,39,5,2,57,Matches
437,Timothy Castagne,be BEL,DF,Fulham,eng Premier League,28-060,1995,15.5,813,986,82.5,12646,4450,439,488,90,53,96,55.2,0,0.7,0.9,-0.7,11,49,12,5,52,Matches
438,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,31-223,1992,16,450,600,75,13467,9478,66,66,100,176,321,54.8,0,0.2,0,-0.2,1,14,0,0,1,Matches
439,Valentín Castellanos,ar ARG,FW,Lazio,it Serie A,25-123,1998,9.4,143,231,61.9,1967,545,82,114,71.9,8,11,72.7,3,1,0.6,2,12,11,11,1,27,Matches
440,Jean-Charles Castelletto,cm CMR,DF,Nantes,fr Ligue 1,29-008,1995,14.6,660,774,85.3,11839,4292,244,268,91,52,91,57.1,0,0.1,0.2,-0.1,4,45,5,1,55,Matches
441,Samu Castillejo,es ESP,"FW,MF",Sassuolo,it Serie A,29-016,1995,5.5,202,261,77.4,3051,657,105,116,90.5,9,28,32.1,0,0.8,0.8,-0.8,13,13,5,3,26,Matches
442,Jonny Castro,es ESP,MF,Wolves,eng Premier League,29-337,1994,0.1,0,0,,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
443,Danilo Cataldi,it ITA,MF,Lazio,it Serie A,29-181,1994,8.5,423,488,86.7,6708,2021,232,246,94.3,26,50,52,0,0.2,0.4,-0.2,8,37,6,2,41,Matches
444,Catena,es ESP,DF,Osasuna,es La Liga,29-098,1994,16.9,652,799,81.6,14980,6238,148,167,88.6,119,201,59.2,1,0.3,0.3,0.7,2,61,3,0,48,Matches
445,Maximiliano Caufriez,be BEL,DF,Clermont Foot,fr Ligue 1,26-352,1997,11.4,517,587,88.1,9034,3089,220,239,92.1,51,68,75,1,0.2,0.3,0.8,8,36,3,1,45,Matches
446,Ivan Cavaleiro,pt POR,FW,Lille,fr Ligue 1,30-108,1993,8.1,193,260,74.2,2722,698,125,144,86.8,9,24,37.5,1,1,1.6,0,11,5,9,2,21,Matches
447,Dani Ceballos,es ESP,MF,Real Madrid,es La Liga,27-180,1996,2.6,169,195,86.7,2324,569,120,127,94.5,10,15,66.7,0,0.8,0.4,-0.8,3,18,1,0,17,Matches
448,Emil Ceide,no NOR,"MF,FW",Sassuolo,it Serie A,22-153,2001,1.2,29,41,70.7,377,111,18,24,75,0,1,0,0,0.2,0.2,-0.2,4,1,1,0,2,Matches
449,Zeki Çelik,tr TUR,DF,Roma,it Serie A,26-351,1997,2.6,98,117,83.8,1574,515,53,58,91.4,7,13,53.8,0,0.1,0.1,-0.1,2,1,3,2,9,Matches
450,Álex Centelles,es ESP,DF,Almería,es La Liga,26-087,1997,2.9,111,158,70.3,2106,852,44,50,88,14,31,45.2,0,0.5,0.4,-0.5,5,6,5,4,5,Matches
451,Fabien Centonze,fr FRA,DF,Nantes,fr Ligue 1,28-018,1996,1,37,51,72.5,640,242,15,20,75,5,8,62.5,0,0,0.2,0,0,1,3,3,1,Matches
452,Václav Černý,cz CZE,"FW,MF",Wolfsburg,de Bundesliga,26-109,1997,8.4,194,285,68.1,2816,975,116,138,84.1,12,32,37.5,1,0.8,2,0.2,12,19,19,1,32,Matches
453,Michele Cerofolini,it ITA,GK,Frosinone,it Serie A,25-030,1999,1,16,32,50,342,254,5,5,100,4,20,20,0,0,0,0,0,0,0,0,0,Matches
454,Alberto Cerri,it ITA,FW,Empoli,it Serie A,27-293,1996,1.4,14,27,51.9,176,19,11,19,57.9,1,1,100,0,0,0,0,1,0,0,0,1,Matches
455,Franco Cervi,ar ARG,"MF,DF",Celta Vigo,es La Liga,29-253,1994,4.8,144,193,74.6,2294,989,80,92,87,9,15,60,0,0.7,1.1,-0.7,7,12,4,0,18,Matches
456,Julio César Enciso,py PAR,MF,Brighton,eng Premier League,20-011,2004,0.8,17,24,70.8,235,67,10,13,76.9,1,1,100,2,0.7,0.6,1.3,2,1,0,0,0,Matches
457,Julian Chabot,de GER,DF,Köln,de Bundesliga,25-356,1998,16.4,820,963,85.2,15131,5554,309,338,91.4,64,129,49.6,0,0.1,0.2,-0.1,3,44,1,1,38,Matches
458,Fares Chaïbi,dz ALG,"FW,MF",Toulouse,fr Ligue 1,21-067,2002,0.6,28,40,70,472,135,12,14,85.7,3,8,37.5,1,0.2,0.2,0.8,2,3,2,0,5,Matches
459,Fares Chaïbi,dz ALG,"MF,FW",Eint Frankfurt,de Bundesliga,21-067,2002,10.9,295,463,63.7,4476,1271,172,217,79.3,21,66,31.8,2,2.8,2.2,-0.8,19,37,13,2,46,Matches
460,Muhammed Cham,at AUT,"MF,FW",Clermont Foot,fr Ligue 1,23-130,2000,15.8,601,746,80.6,9837,2569,284,313,90.7,56,104,53.8,3,1.5,1.6,1.5,27,51,15,0,89,Matches
461,Brendan Chardonnet,fr FRA,DF,Brest,fr Ligue 1,29-043,1994,18,741,914,81.1,15558,5060,219,241,90.9,120,224,53.6,1,1.4,0.9,-0.4,7,57,6,2,52,Matches
462,Charlys,br BRA,MF,Hellas Verona,it Serie A,19-349,2004,0,1,2,50,9,7,1,1,100,0,0,,0,0,0,0,0,0,1,0,1,Matches
463,Pep Chavarría,es ESP,"DF,MF",Rayo Vallecano,es La Liga,25-299,1998,4.8,221,289,76.5,3627,1012,104,120,86.7,12,29,41.4,1,0.3,0.3,0.7,6,17,9,4,24,Matches
464,Jhoanner Chávez,ec ECU,DF,Lens,fr Ligue 1,21-284,2002,1.3,42,50,84,662,255,22,26,84.6,3,4,75,0,0.2,0.2,-0.2,1,4,1,1,2,Matches
465,Walid Cheddira,ma MAR,FW,Frosinone,it Serie A,26-012,1998,11.1,125,187,66.8,1679,235,74,99,74.7,7,7,100,1,1.1,0.3,-0.1,7,5,1,0,6,Matches
466,Rayan Cherki,fr FRA,"MF,FW",Lyon,fr Ligue 1,20-170,2003,13.4,564,716,78.8,10203,2692,240,294,81.6,69,105,65.7,3,2.9,4,0.1,27,58,27,6,85,Matches
467,Youssef Chermiti,pt POR,FW,Everton,eng Premier League,19-255,2004,0.6,10,16,62.5,124,9,6,9,66.7,0,0,,0,0.4,0,-0.4,1,0,1,0,1,Matches
468,Lucas Chevalier,fr FRA,GK,Lille,fr Ligue 1,22-089,2001,19,521,678,76.8,11764,7612,154,156,98.7,108,259,41.7,0,0.1,0,-0.1,1,5,0,0,0,Matches
469,Fabio Chiarodia,it ITA,"DF,MF",M'Gladbach,de Bundesliga,18-243,2005,0.7,23,31,74.2,389,193,11,14,78.6,2,5,40,0,0,0,0,0,2,0,0,2,Matches
470,Federico Chiesa,it ITA,FW,Juventus,it Serie A,26-101,1997,12.8,248,355,69.9,3781,1215,139,174,79.9,20,41,48.8,1,2.7,2.8,-1.7,25,22,22,7,35,Matches
471,Ben Chilwell,eng ENG,DF,Chelsea,eng Premier League,27-044,1996,4.4,178,240,74.2,2652,845,102,122,83.6,14,28,50,1,1.9,1.5,-0.9,10,12,2,2,12,Matches
472,Tawanda Chirewa,eng ENG,FW,Wolves,eng Premier League,20-115,2003,0,1,1,100,16,9,0,0,,0,0,,0,0,0,0,0,0,0,0,1,Matches
473,Pedro Chirivella,es ESP,MF,Nantes,fr Ligue 1,26-256,1997,17.1,1007,1152,87.4,16997,4799,458,490,93.5,84,142,59.2,0,0.6,1.6,-0.6,8,109,13,5,118,Matches
474,Tahith Chong,nl NED,MF,Luton Town,eng Premier League,24-061,1999,8.6,161,204,78.9,2866,672,72,88,81.8,20,28,71.4,0,0.1,0.5,-0.1,3,15,8,6,33,Matches
475,Joris Chotard,fr FRA,MF,Montpellier,fr Ligue 1,22-132,2001,17.4,521,666,78.2,9883,3823,202,243,83.1,72,104,69.2,2,1.2,1.6,0.8,9,58,11,2,62,Matches
476,Andreas Christensen,dk DEN,DF,Barcelona,es La Liga,27-299,1996,12.6,1018,1061,95.9,17784,6680,437,451,96.9,65,78,83.3,1,0.6,0.3,0.4,4,76,0,0,78,Matches
477,Jacob Christensen,dk DEN,"FW,MF",Köln,de Bundesliga,22-223,2001,0.2,3,5,60,35,8,2,2,100,0,0,,0,0,0,0,0,0,0,0,1,Matches
478,Oliver Christensen,dk DEN,GK,Fiorentina,it Serie A,24-318,1999,2,66,86,76.7,1928,1329,8,8,100,29,47,61.7,0,0,0,0,0,1,0,0,0,Matches
479,Ryan Christie,sct SCO,MF,Bournemouth,eng Premier League,28-346,1995,18.5,549,718,76.5,10224,2602,230,256,89.8,74,130,56.9,2,3.5,2.6,-1.5,24,60,18,3,79,Matches
480,Carney Chukwuemeka,eng ENG,MF,Chelsea,eng Premier League,20-106,2003,1.7,73,86,84.9,887,115,55,60,91.7,4,4,100,1,0.3,0.2,0.7,2,4,3,0,5,Matches
481,Samuel Chukwueze,ng NGA,FW,Milan,it Serie A,24-257,1999,6.1,170,216,78.7,2720,551,87,104,83.7,10,17,58.8,1,0.4,1.1,0.6,4,9,10,0,23,Matches
482,Víctor Chust,es ESP,DF,Cádiz,es La Liga,23-335,2000,6,212,271,78.2,4862,1743,62,73,84.9,45,76,59.2,0,0,0.1,0,1,18,2,0,17,Matches
483,Pathé Ciss,sn SEN,MF,Rayo Vallecano,es La Liga,29-324,1994,11.2,405,505,80.2,7692,2214,168,204,82.4,47,66,71.2,0,0.4,0.3,-0.4,7,47,3,0,46,Matches
484,Ibrahim Cissoko,nl NED,"FW,MF",Toulouse,fr Ligue 1,20-314,2003,2.3,74,97,76.3,1110,300,44,49,89.8,6,8,75,0,0.2,0.4,-0.2,4,7,7,5,10,Matches
485,Giorgio Cittadini,it ITA,DF,Monza,it Serie A,21-291,2002,0.2,5,6,83.3,94,39,1,2,50,1,1,100,0,0,0,0,0,0,0,0,1,Matches
486,Patrick Ciurria,it ITA,"DF,MF",Monza,it Serie A,28-359,1995,16.3,622,791,78.6,10044,3116,315,355,88.7,39,67,58.2,1,2.6,2.1,-1.6,30,44,27,10,66,Matches
487,Bobby Clark,eng ENG,MF,Liverpool,eng Premier League,18-361,2005,0.2,4,7,57.1,32,7,4,6,66.7,0,1,0,0,0,0,0,0,1,0,0,1,Matches
488,Jordan Clark,eng ENG,MF,Luton Town,eng Premier League,30-134,1993,2.5,62,87,71.3,1078,293,27,35,77.1,6,10,60,0,0.1,0.1,-0.1,2,3,2,0,10,Matches
489,Alexis Claude-Maurice,fr FRA,MF,Nice,fr Ligue 1,25-242,1998,2.2,82,103,79.6,1131,144,52,57,91.2,2,2,100,0,0.1,0.3,-0.1,2,5,3,2,3,Matches
490,Jonathan Clauss,fr FRA,DF,Marseille,fr Ligue 1,31-131,1992,15.3,773,1039,74.4,13122,4898,390,452,86.3,66,145,45.5,2,2.7,3.5,-0.7,28,66,32,11,91,Matches
491,Silvi Clúa,es ESP,MF,Girona,es La Liga,19-005,2005,0,5,5,100,85,41,1,1,100,0,0,,0,0,0,0,0,1,0,0,0,Matches
492,Nathaniel Clyne,eng ENG,DF,Crystal Palace,eng Premier League,32-304,1991,8,257,322,79.8,3855,1642,143,156,91.7,17,29,58.6,0,0,0.1,0,1,21,2,1,18,Matches
493,Marcus Coco,fr FRA,DF,Nantes,fr Ligue 1,27-224,1996,10,321,412,77.9,5162,1797,151,171,88.3,19,53,35.8,0,0.8,0.6,-0.8,7,28,11,4,37,Matches
494,Saúl Coco,gq EQG,DF,Las Palmas,es La Liga,24-359,1999,13.4,616,697,88.4,10136,4388,293,310,94.5,25,51,49,0,0,0.1,0,1,21,0,0,39,Matches
495,Séamus Coleman,ie IRL,DF,Everton,eng Premier League,35-115,1988,2,49,76,64.5,793,432,29,37,78.4,4,13,30.8,0,0,0.1,0,0,6,1,0,10,Matches
496,Maxime Colin,fr FRA,DF,Metz,fr Ligue 1,32-080,1991,10.1,348,485,71.8,6331,3093,145,177,81.9,36,79,45.6,0,0.1,0.4,-0.1,3,32,7,5,35,Matches
497,Nathan Collins,ie IRL,DF,Brentford,eng Premier League,22-279,2001,15.1,805,958,84,14700,5122,292,326,89.6,62,115,53.9,1,1,0.6,0,3,41,2,0,54,Matches
498,Lorenzo Colombo,it ITA,FW,Monza,it Serie A,21-332,2002,13.2,163,229,71.2,2428,532,92,124,74.2,14,19,73.7,1,0.6,0.4,0.4,8,8,3,0,22,Matches
499,Andrea Colpani,it ITA,"MF,FW",Monza,it Serie A,24-268,1999,17.5,483,635,76.1,8462,1987,228,258,88.4,54,104,51.9,1,2.7,2.8,-1.7,35,30,27,3,81,Matches
500,Levi Colwill,eng ENG,DF,Chelsea,eng Premier League,20-342,2003,17.8,853,1030,82.8,14305,5109,403,450,89.6,46,105,43.8,1,1.2,0.5,-0.2,7,75,5,0,67,Matches
501,Kingsley Coman,fr FRA,FW,Bayern Munich,de Bundesliga,27-235,1996,11.5,475,581,81.8,7447,1384,255,296,86.1,23,41,56.1,3,3.7,4.2,-0.7,27,15,36,7,60,Matches
502,Eray Cömert,ch SUI,DF,Nantes,fr Ligue 1,25-364,1998,14.7,687,763,90,13782,4494,227,239,95,92,134,68.7,0,0.1,0.3,-0.1,3,43,4,2,41,Matches
